CODGEO	REG	DEP	ARR	LIBGEO	P10_POP
01001	82	01	012	L'Abergement-Clémenciat	784
01002	82	01	011	L'Abergement-de-Varey	221
01004	82	01	011	Ambérieu-en-Bugey	13835
01005	82	01	012	Ambérieux-en-Dombes	1616
01006	82	01	011	Ambléon	116
01007	82	01	011	Ambronay	2362
01008	82	01	011	Ambutrix	729
01009	82	01	011	Andert-et-Condon	340
01010	82	01	011	Anglefort	994
01011	82	01	014	Apremont	363
01012	82	01	011	Aranc	302
01013	82	01	011	Arandas	163
01014	82	01	014	Arbent	3476
01015	82	01	011	Arbignieu	480
01016	82	01	012	Arbigny	399
01017	82	01	011	Argis	421
01019	82	01	011	Armix	20
01021	82	01	012	Ars-sur-Formans	1367
01022	82	01	011	Artemare	1126
01023	82	01	012	Asnières-sur-Saône	73
01024	82	01	012	Attignat	2936
01025	82	01	012	Bâgé-la-Ville	3040
01026	82	01	012	Bâgé-le-Châtel	796
01027	82	01	012	Balan	2348
01028	82	01	012	Baneins	572
01029	82	01	012	Beaupont	624
01030	82	01	012	Beauregard	870
01031	82	01	014	Bellignat	3537
01032	82	01	012	Béligneux	2905
01033	82	01	014	Bellegarde-sur-Valserine	11790
01034	82	01	011	Belley	8755
01035	82	01	014	Belleydoux	321
01036	82	01	011	Belmont-Luthézieu	514
01037	82	01	011	Bénonces	275
01038	82	01	012	Bény	724
01039	82	01	011	Béon	373
01040	82	01	012	Béréziat	445
01041	82	01	011	Bettant	724
01042	82	01	012	Bey	245
01043	82	01	012	Beynost	4475
01044	82	01	014	Billiat	484
01045	82	01	012	Birieux	236
01046	82	01	012	Biziat	797
01047	82	01	011	Blyes	886
01049	82	01	012	La Boisse	2928
01050	82	01	012	Boissey	288
01051	82	01	014	Bolozon	94
01052	82	01	012	Bouligneux	309
01053	82	01	012	Bourg-en-Bresse	40088
01054	82	01	012	Bourg-Saint-Christophe	1173
01056	82	01	014	Boyeux-Saint-Jérôme	321
01057	82	01	012	Boz	496
01058	82	01	011	Brégnier-Cordon	832
01059	82	01	011	Brénaz	92
01060	82	01	014	Brénod	544
01061	82	01	011	Brens	1158
01062	82	01	012	Bressolles	709
01063	82	01	014	Brion	517
01064	82	01	011	Briord	893
01065	82	01	012	Buellas	1669
01066	82	01	011	La Burbanche	72
01067	82	01	014	Ceignes	265
01068	82	01	014	Cerdon	741
01069	82	01	012	Certines	1445
01071	82	01	013	Cessy	3992
01072	82	01	012	Ceyzériat	2738
01073	82	01	011	Ceyzérieu	929
01074	82	01	012	Chalamont	2322
01075	82	01	012	Chaleins	1165
01076	82	01	011	Chaley	127
