n_dep	Infractions aux biens	Atteintes volontaires à l'intégrité physique	Infractions économiques et financières
Ain	2.002	363	497
Aisne	2.489	661	584
Allier	1.988	429	429
Alpes-de-Haute-Provence	2.730	447	654
Hautes-Alpes	2.331	370	591
Alpes-Maritimes	5.308	1.111	731
Ardèche	1.960	383	399
Ardennes	2.159	591	428
Ariège	1.963	408	340
Aube	2.686	683	487
Aude	3.454	522	488
Aveyron	1.351	285	445
Bouches-du-Rhône	5.876	1.488	903
Calvados	2.727	516	309
Cantal	1.087	269	286
Charente	2.579	447	465
Charente-Maritime	3.482	457	686
Cher	2.414	461	302
Corrèze	1.872	362	443
Corse-du-Sud	2.619	529	800
Haute-Corse	2.420	534	776
Côte-d'Or	2.778	443	442
Côtes-d'Armor	2.009	326	345
Creuse	967	227	321
Dordogne	1.961	322	436
Doubs	2.533	524	639
Drôme	3.742	710	524
Eure	2.383	534	596
Eure-et-Loir	2.543	604	448
Finistère	2.331	476	374
Gard	4.522	741	637
Haute-Garonne	4.619	730	704
Gers	1.723	304	477
Gironde	3.720	620	471
Hérault	4.915	777	657
Ille-et-Vilaine	2.439	460	466
Indre	2.027	429	432
Indre-et-Loire	2.945	463	457
Isère	3.509	569	428
Jura	1.859	378	425
Landes	2.465	364	460
Loir-et-Cher	2.520	493	579
Loire	2.871	573	514
Haute-Loire	1.523	308	353
Loire-Atlantique	3.563	576	498
Loiret	3.052	725	606
Lot	1.583	343	434
Lot-et-Garonne	2.281	384	548
Lozère	1.402	298	565
Maine-et-Loire	2.222	428	472
Manche	1.564	363	298
Marne	3.647	785	621
Haute-Marne	2.444	607	601
Mayenne	1.502	364	356
Meurthe-et-Moselle	2.880	628	503
Meuse	1.738	423	364
Morbihan	2.322	356	431
Moselle	2.460	570	511
Nièvre	1.930	425	332
Nord	3.923	975	522
Oise	3.213	650	549
Orne	1.950	451	437
Pas-de-Calais	2.674	818	477
Puy-de-Dôme	2.429	429	513
Pyrénées-Atlantiques	2.695	413	435
Hautes-Pyrénées	2.540	481	527
Pyrénées-Orientales	3.783	711	493
Bas-Rhin	2.426	594	447
Haut-Rhin	2.456	631	388
Rhône	4.065	920	589
Haute-Saône	1.754	440	282
Saône-et-Loire	2.148	358	466
Sarthe	2.085	531	353
Savoie	3.537	532	567
Haute-Savoie	2.859	487	450
Paris	6.303	1.576	1,045
Seine-Maritime	3.250	822	501
Seine-et-Marne	3.770	881	522
Yvelines	3.866	757	529
Deux-Sèvres	1.866	355	419
Somme	2.818	825	462
Tarn	2.128	421	503
Tarn-et-Garonne	2.794	475	633
Var	3.646	751	749
Vaucluse	4.368	695	732
Vendée	2.075	297	443
Vienne	2.296	376	349
Haute-Vienne	2.303	414	376
Vosges	2.142	445	448
Yonne	2.812	633	548
Territoire de Belfort	2.631	608	430
Essonne	3.662	881	487
Hauts-de-Seine	3.812	862	706
Seine-Saint-Denis	5.880	2.036	631
Val-de-Marne	4.369	1.088	485
Val-d'Oise	4.659	1.209	888
France de province	3.084	631	520
France métropolitaine	3.385	738	552
Les ratios sont calculés à partir des estimations de population au 01/01/2012.			
Les données de France métropolitaine ne correspondent pas à la somme des données des régions ou des départements. car elles intègrent des services non ventilés qui correspondent aux faits constatés par les services centraux (DGPJ. DCRI. PAF).			
Sources : Direction Générale de la Police Judiciaire (DGPJ) ; Insee. Estimations de population.			
