nom_contextuel_unite,localite_unite,num_tph_fixe_unite,num_fax_unite,adresse_code_postal,adresse_geographique_unite,lambert93_x,lambert93_y,latitude,longitude
Brigade territoriale autonome de Mions,MIONS,+33 4 72 90 17 70,+33 4 72 90 17 74,69780,10 Rue Joanny Sage 69780 MIONS,852207,6509352,"4,955040","45,666762"
Brigade territoriale autonome de Ch̢teauneuf-du-Pape,CHATEAUNEUF DU PAPE,,,84230,Les Mascaronnes - Chemin de Boursan 84230 CHATEAUNEUF DU PAPE,847024,6329644,"4,834864","44,050423"
Brigade territoriale autonome de Ch̢tillon-en-Michaille,CHATILLON EN MICHAILLE,+33 4 50 48 22 99,+33 4 50 48 64 92,1200,186 All̩e Saint-Christophe 01200 CHATILLON EN MICHAILLE,913877,6562751,"5,770673","46,130790"
Brigade territoriale autonome d'Hallennes-lez-Haubourdin,HALLENNES LEZ HAUBOURDIN,+33 3 20 07 17 03,+33 3 20 07 23 43,59320,2 bis Avenue Marie-Madeleine Dupuis 59320 HALLENNES LEZ HAUBOURDIN,696996,7057437,"2,957628","50,613952"
Brigade territoriale autonome de Merlimont,MERLIMONT,+33 3 21 89 78 90,+33 3 21 89 78 93,62155,100 All̩e des Courlis 62155 MERLIMONT,601573,7040200,"1,616087","50,451506"
Brigade territoriale autonome de Hoymille,HOYMILLE,+33 3 28 68 65 22,+33 3 28 68 86 75,59492,Caserne Dumont Chemin D̩partemental 916 A 59492 HOYMILLE,661567,7097689,"2,453984","50,973912"
Brigade territoriale autonome de Robion,ROBION,+33 4 90 78 01 30,+33 4 90 78 71 08,84440,120 Avenue Andr̩ Dumoulin 84440 ROBION,869153,6307454,"5,103536","43,845816"
Brigade territoriale autonome de Saint-Paul-en-Jarez,ST PAUL EN JAREZ,+33 4 77 73 22 07,+33 4 77 73 67 22,42740,90 Route de la Merlanchonni̬re La Merlanchonni̬re 42740 ST PAUL EN JAREZ,823219,6488471,"4,577454","45,484619"
Brigade territoriale autonome de Bondoufle,BONDOUFLE,+33 1 60 79 72 00,+33 1 60 79 72 29,91070,Route D̩partementale 194 91070 BONDOUFLE,654253,6835182,"2,379389","48,615213"
Brigade territoriale autonome de Bormes-les-Mimosas,BORMES LES MIMOSAS,+33 4 94 71 11 92,+33 4 94 15 60 71,83230,207 Avenue Andr̩ Del Monte 83230 BORMES LES MIMOSAS,973496,6229003,"6,358365","43,107947"
Brigade territoriale autonome de la Farl̬de,LA FARLEDE,+33 4 94 28 90 16,+33 4 94 13 86 31,83210,200 Route Nationale 97 83210 LA FARLEDE,947487,6234005,"6,041687","43,162378"
Brigade territoriale autonome de Bompas,BOMPAS,+33 4 68 53 74 60,+33 4 68 53 74 69,66430,Route de Villelongue 66430 BOMPAS,695295,6180916,"2,942620","42,727805"
Brigade territoriale autonome de Saint-Jean-de-V̩das,ST JEAN DE VEDAS,+33 4 67 99 45 70,+33 4 67 99 45 79,34430,330 Avenue de Librilla 34430 ST JEAN DE VEDAS,767200,6275377,"3,831644","43,574269"
Brigade territoriale autonome de Cabestany,CABESTANY,+33 4 68 29 35 20,+33 4 68 29 35 38,66330,2 Avenue du 19 Mars 1962 ZA Le Moulinas 66330 CABESTANY,694692,6175518,"2,935320","42,679268"
