name;description;coordinates
CHATENAY MALABRY / Sceaux / Fontenay Aux Roses;Commissariat central;48.7670073, 2.2770311
GENNEVILLIERS;Commissariat central;48.9246428, 2.2926329
LA GARENNE COLOMBES;Commissariat central;48.906106, 2.2406057
NEUILLY;Commissariat central;48.8877286, 2.2588543
VILLENEUVE LA GARENNE;Commissariat central;48.9317565, 2.3312809
BOBIGNY / Noisy-le-Sec;Commissariat central;48.9098037, 2.4511192
CLICHY SOUS BOIS / Montfermeil;Commissariat central;48.9049449, 2.548651
LE BLANC-MESNIL;Commissariat central;48.938876, 2.4641883
PANTIN;Commissariat central;48.8932377, 2.4054533
VILLEPINTE / Tremblay-en-France;Commissariat central;48.960226, 2.542867
BOISSY SAINT LEGER / Limeil Brevannes / Mandres Les Roses / Marolles En Brie / Périgny Sur Yerres / Santeny / Sucy En Brie / Villecresnes;Commissariat central;48.7537021, 2.5034029
CRETEIL / Bonneuil sur marne;Commissariat central;48.7759521, 2.4579846
SAINT MAUR DES FOSSES;Commissariat central;48.7957167, 2.4905317
;;48.868892399, 2.34396310803
;;48.8733860023, 2.33966002049
;;48.8360936819, 2.32349292709
;;48.8545010023, 2.26921485953
;;48.840754, 2.31947
BOULOGNE BILLANCOURT;Commissariat central;48.8352357, 2.2408952
COURBEVOIE;Commissariat central;48.8940886, 2.2526284
LA DEFENSE;Commissariat central;48.892096, 2.2445963
NANTERRE;Commissariat central;48.8923012, 2.2056955
VANVES / Malakoff;Commissariat central;48.818878, 2.2871037
AULNAY-SOUS-BOIS / Sevran;Commissariat central;48.9272756, 2.5003785
BONDY / Les Pavillons-sous-Bois;Commissariat central;48.901779, 2.485805
LA COURNEUVE / Dugny / Le Bourget;Commissariat central;48.9281492, 2.3914016
NOISY-LE-GRAND / Gournay-sur-Marne;Commissariat central;48.8490148, 2.5531938
STAINS / Pierrefitte-sur-Seine;Commissariat centra;48.9607552, 2.3817224
CHOISY LE ROI / Orly;Commissariat central;48.7638141, 2.4060101
LE KREMLIN BICETRE / Gentilly / Arcueil / Cachan / Villejuif;Commissariat central;48.8056173, 2.3456331
NOGENT SUR MARNE / Bry Sur Marne / Joinville Le Pont / Le Perreux Sur Marne;Commissariat central;48.8363093, 2.4835809
;;48.8671456039, 2.33137856218
;;48.8674977138, 2.31157034781
;;48.8332867461, 2.35653077957
;;48.8400806743, 2.30243639531
;;48.8652632989, 2.39754798192
;;48.893606, 2.3643
ANTONY;Commissariat central;48.7604272, 2.2975939
CLICHY;Commissariat central;48.9040384, 2.3051964
MEUDON;Commissariat central;48.8104117, 2.239915
RUEIL MALMAISON;Commissariat central;48.8725825, 2.1780146
SEVRES Chaville / Ville D'avray;Commissariat central;48.8232237, 2.2098131
ANTONY / Bourg La Reine;Commissariat central;48.7604272, 2.2975939
EPINAY/SEINE / Villetaneuse;Commissariat central;48.9521205, 2.3122336
LES LILAS / Bagnolet / Romainville / Le Pré-Saint-Gervais;Commissariat central;48.8826596, 2.4151066
MONTREUIL;Commissariat central;48.8643099, 2.4425793
SAINT-DENIS / L'Ile-Saint-Denis;Commissariat central;48.940873, 2.3540861
CHARENTON / Saint Maurice;Commissariat central;48.8229553, 2.4117275
IVRY SUR SEINE;Commissariat central;48.8141013, 2.390356
VINCENNES / Saint Mandé;Commissariat central;48.8465139, 2.4381384
;;48.8508971494, 2.36729853147
;;48.8512537393, 2.33286780541
;;48.8545470844, 2.37828980185
;;48.8897622914, 2.34808615535
;;48.875496, 2.326671
;;48.845119, 2.373128
BAGNEUX;Commissariat central;48.7928634, 2.3065428
COLOMBES;Commissariat central;48.9218516, 2.2586868
ISSY LES MOULINEAUX;Commissariat central;48.8233737, 2.270274
MONTROUGE / Chatillon;Commissariat central;48.8156515, 2.3134479
SURESNES;Commissariat central;48.8684003, 2.2250844
AULNAY-SOUS-BOIS;Commissariat central;48.9146017, 2.3880711
GAGNY;Commissariat central;48.8833012, 2.5329109
LIVRY GARGAN / Coubron / Vaujours;Commissariat central;48.9189333, 2.5369554
NEUILLY-SUR-MARNE / Neuilly-Plaisance;Commissariat central;48.8555259, 2.5266692
SAINT-OUEN;Commissariat central;48.907382, 2.3383791
CHENNEVIERES SUR MARNE / La Queue En Brie / Le Plessis Trevise / Noiseau / Ormesson Sur Marne / Villiers Sur Marne;Commissariat central;48.7949416, 2.5299246
L'HAY LES ROSES / Fresnes / Chevilly-Larue / Thiais / Rungis;Commissariat central -;48.7776088, 2.3311079
MAISONS ALFORT;Commissariat central;48.8042694, 2.4373791
VITRY SUR SEINE;Commissariat central;48.7874053, 2.3905472
;;48.8616971713, 2.31160732816
;;48.8442893985, 2.38159459487
;;48.8843833488, 2.38640005266
;;48.861506, 2.347822
;;48.936181, 2.357443
