Dpt	District	Nature des locaux	adresse	Tél	horaires	latitude	longitude
SUB = subdivisionnaire ;    BP = bureau de police ;   PCPP : point de contact police proximité ;  H. P. = hôtel de police						48.9065811	2.2874168
92	D1	CIAT	12 rue du Château 92600 ASNIERES	01 41 11 83 10	24/24	48.9202496	2.2739044
92	D1	CIAT	75 Bis Ter rue Adolphe Guyot 92270 BOIS-COLOMBES	01 46 49 11 40	24/24	48.90398	2.3052668
92	D1	CIAT	96 rue Martre 92110 CLICHY-LA-GARENNE	01 55 46 94 00	24/24	48.921816	2.2586694
92	D1	CIAT	5 rue du 8 Mai 1945 92700 COLOMBES	01 56 05 80 20	24/24	48.9317466	2.2671616
92	D1	BP	7/9 rue Jules Michelet 92700 COLOMBES	01 47 86 87 00	Lundi au Jeudi 9h00 à 12h00 - 16h00 à 19h00 / Vendredi 9h00 à 12h00 - 16h00 à 18h25	48.91452	2.229002
92	D1	BP	12 Place Louis Aragon 92700 COLOMBES	01 56 05 84 30	Lundi au Jeudi 9h00 à 12h00 - 16h00 à 19h00 / Vendredi 9h00 à 12h00 - 16h00 à 18h25	48.924663	2.291678
92	D1	CIAT	19 avenue de la Libération 92230 GENNEVILLIERS	01 40 85 14 31	24/24	48.8938755	2.2898716
92	D1	CIAT	36 rue Rivay  92300 LEVALLOIS-PERRET	01 55 90 01 20	24/24	48.9315193	2.3314743
92	D1	SUB	19 Bis rue du Fond de la Noue 92390 VILLENEUVE-LA-GARENNE	01 47 92 76 10	24/24	48.8942537	2.2515509
92	D2	CIAT	9 rue Auguste Beau 92400 COURBEVOIE	01 41 16 85 00	24/24	48.890845	2.242628
92	D2	CIAT	9 avenue André Prothin 92800 LA DEFENSE	01 47 75 51 00	24/24	48.9060983	2.2405243
92	D2	CIAT	98 rue Sartoris 92250 LA GARENNE-COLOMBES	01 41 19 32 10	24/24	48.892497	2.205403
92	D2	CIAT	54-56 rue du 19 Mars 1962 92000 NANTERRE	01 55 69 46 50	24/24	48.8872035	2.2218561
92	D2	BP	3 rue de la Paix 92000 NANTERRE 	01 55 68 13 70	Lundi au Vendredi 9h00 à 12h00 - 13h07 à 18h00	48.8876984	2.2585326
92	D2	CIAT	34 rue du Pont 92200 NEUILLY	01 55 62 07 20	24/24	38.5914993	-77.1110992
92	D2	CIAT	2 rue Chantecoq 92800 PUTEAUX	01 55 91 91 40	24/24	48.874025	2.17493
92	D2	CIAT	13 rue Charles Flocquet 92500 RUEIL-MALMAISON	01 41 39 49 00	24/24	48.8684508	2.2254208
92	D2	CIAT	1 Place du Moutier 92150 SURESNES	01 46 25 00	24/24	48.8352254	2.2408091
92	D3	CIAT	24 avenue André Morizet 92100 BOULOGNE-BILLANCOURT	01 41 31 64 00	24/24	48.8232639	2.2702422
92	D3	CIAT	 22 avenue Victor Cresson 92130 ISSY-LES-MOULINEAUX	01 41 09 18 18	24/24	48.8101181	2.2394635
92	D3	CIAT	94 rue de Paris 92190 MEUDON	01 41 14 08 00	24/24	48.8456343	2.2201809
92	D3	CIAT	27 rue Dailly 92210 SAINT-CLOUD	01 41 12 84 00	24/24	48.8448501	2.178357
92	D3	BP	2 rue de Suresnes 92380 GARCHES	01 47 01 34 90	Lundi au Vendredi 9h00 à 12h00 - 14h00 à 19h00 sauf Jeudi 9h05 à 12h00 - 14h00 à 18h30	48.8231926	2.209701
92	D3	CIAT	4 avenue de l' Europe 92310 SEVRES	01 41 14 09 00	24/24	48.8097446	2.1892827
92	D3	BP	2 avenue Curie  92370 CHAVILLE	01 41 15 95 30	Lundi au Vendredi 8h30 à 12h00 - 14h00 à 18h30	48.7605804	2.297489
92	D4	CIAT	50 avenue Gallieni 92160 ANTONY 	01 55 59 06 00	24/24	48.7795892	2.3157388
92	D4	BP	5 Ter Place Condorcet 92340 BOURG-LA-REINE	01 55 52 17 20	Lundi au Vendredi 9h00 à 12h00 - 14h00 à 19h00	48.7939149	2.3065093
92	D4	CIAT	1 rue des Mathurins 92220 BAGNEUX	01 55 48 07 50	24/24	48.7669977	2.2772093
92	D4	CIAT	28 rue du Docteur le Savoureux 92290 CHATENAY-MALABRY	01 40 91 25 00	24/24	48.7834838	2.3023197
92	D4	SUB	48/50 rue de Bagneux 92330 SCEAUX 	01 41 13 40 00	24/24	48.8005904	2.2634132
92	D4	CIAT	1-3 avenue Jean Jaurès 92140 CLAMART	01 41 46 13 00	24/24	48.782694	2.239605
92	D4	BP	3 rue d'Auvergne 92140 CLAMART	01 46 01 81 60	Lundi au Vendredi 9h00 à 12h00 - 14h00 à 19h00	48.7815768	2.2590423
92	D4	BP	3 rue Pierre d' Artagnan 92350 LE PLESSIS ROBINSON	01 46 01 80 20	Lundi au Vendredi 9h00 à 12h00 - 14h00 à 19h00	48.8158393	2.3135796
92	D4	CIAT	4-6 rue Guillot 92120 MONTROUGE	01 46 56 34 00	24/24	48.8071493	2.2954103
92	D4	BP	3 Allée Vauban 92350 CHATILLON	01 55 58 12 80	Lundi au Vendredi 9h00 à 12h00 - 14h00 à 18h30	48.8189282	2.2871092
92	D4	CIAT	28 rue Raymond Marcheron 92170 VANVES	01 41 09 30 00	24/24	48.8196131	2.301207
92	D4	BP	1 Place du 14 Juillet 1945 92240 MALAKOFF	01 55 58 08 00	Lundi au Vendredi 9h00 à 12h00 - 14h00 à 19h00	48.9100197	2.4504098
93	D1	H. P. 	45 rue de Carency 93000 Bobigny	01 41 60 26 70	24/24	48.8879687	2.4585036
93	D1	Ciat	2/4 rue de Neuilly 93130 Noisy-le-Sec	01 48 10 12 50	24/24	48.9216498	2.4444687
93	D1	Ciat	6 rue de la République 93700 Drancy	01 41 60 81 40	24/24	48.8822803	2.4149784
93	D1	Ciat	51/57 Bld Eugene Decros 93260 Les Lilas	01 41 83 67 00	24/24	48.8680109	2.4194813
93	D1	Ciat Subd.	4/20 rue Malmaison 93170 Bagnolet	01 43 63 26 40	24/24	48.8931815	2.4054755
93	D1	Ciat	14/16 rue Eugène et Marie-Louise Cornet  93503 Pantin	01 41 83 45 00	24/24	48.9017934	2.4860001
93	D1	Ciat	26 avenue Henri Barbusse 93140 Bondy	01 48 50 30 00 	24/24	48.9403448	2.3541132
93	D2	Ciat	15 rue Jean Mermoz 93200 Saint-Denis	01 49 71 80 00	24/24	48.9154297	2.3626002
