Dept	DDSP	Circonscription	Type	Adresse	Code Postal	Commune	Tel	latitude	longitude
01	DDSP	BOURG EN BRESSE	CP	4, Rue des Remparts	01000	BOURG EN BRESSE	04 74 47 20 20	46.2067848	5.2252704
01		BOURG EN BRESSE	AN	22 - 24, Rue de Montholon - SDIG	01000	BOURG EN BRESSE	04 74 32 99 60		
01		OYONNAX	CP	57, Rue Pasteur	01108	OYONNAX	04 74 77 47 33	46.254056	5.6525961
01		OYONNAX	AN	3, Rue Jean Charcot - service de police de proximité	01108	OYONNAX	04 74 81 98 67		
02	DDSP	LAON	AN	24 bis, rue Fernand Christ	02003	LAON	03 23 25 16 00	36.8062286	-82.6095963
02		LAON	CP	2, Bd Gras Brancourt	02003	LAON	03 23 27 79 79	49.5698737	3.6264579
02		LAON	AN	3, Ruelle des Cordeliers - SDIG	02003	LAON	03 23 26 81 00	36.8062286	-82.6095963
02		CHATEAU THIERRY	CP	Rue de la Mare aux Canes	02400	CHATEAU THIERRY	03 23 84 26 26	49.047852	3.388626
02		SAINT QUENTIN	CP	7, Avenue du Général de Gaulle	02100	SAINT QUENTIN	03 23 06 20 20	49.8423697	3.2964609
02		SAINT QUENTIN	AN	Zone Industrielle - Lieu dit "le Buisson à Perdrix" - Chenil	02100	NEUVILLE SAINT AMAND			
02		SAINT QUENTIN	CS	38, Rue d'Artois - Quartier Vermand	02100	SAINT QUENTIN	03 23 05 73 00	49.8568881	3.2695857
02		SOISSONS	CP	19, Rue Paul Deviolaine	02209	SOISSONS	03 23 76 72 00	49.3857551	3.3229807
02		TERGNIER LA FERE	CP	19, Rue Victor Hugo	02700	TERGNIER LA FERE	03 23 37 22 00	49.6555451	3.2927602
03	DDSP	MOULINS	CP	Îlot Notre Dame	03000	MOULINS		46.5644989	3.3256099
03		MOULINS		Concession logement	03000	MOULINS		46.572155	3.270035
03		MOULINS		Stand de tir	03000	MOULINS		46.572155	3.270035
03		MONTLUCON	CP	41, rue Joseph Chantemille	3100	MONTLUÇON	04 70 02 52 70	46.3408899	2.5958764
03		MONTLUCON	CS	Place Daniel Casanova - Quartier Bien Assis	03100	MONTLUÇON	04 70 03 31 85	39.4778214	-76.6398926
03		MONTLUCON	PCPP	Rue du Lampier	03410	DOMERAT	04 70 64 08 64	46.361088	2.533527
03		VICHY	CP	35, avenue Victoria	03200	VICHY	04 70 96 11 11	46.1277882	3.4241962
03		VICHY	AN	17, Rue Alquié - SDIG	03200	VICHY		38.1104317	-91.7606812
04	DDSP	DIGNE LES BAINS	CP	2, Rue des Monges	04000	DIGNE LES BAINS	04 92 30 86 60	44.0931171	6.2348658
04		DIGNE LES BAINS	AN	30, Avenue de Saint Véran - Entrepôt	04000	DIGNE LES BAINS	04 92 31 31 12	44.0879166	6.2146208
04		DIGNE LES BAINS	AN	13, Bd Victor Hugo - vestiaires, syndicat, salle de réunion	04000	DIGNE LES BAINS	04 92 31 50 97		
04		DIGNE LES BAINS	AN	74, Bd Gassenti - Immeuble Verdi - SDIG	04000	DIGNE LES BAINS	04 92 30 88 90	44.0945104	6.2395853
04		MANOSQUE	HP	10, Allée de Provence	04100	MANOSQUE	04 92 70 17 00	43.8307116	5.7888952
05	DDSP	GAP	CP	Place Alsace - Lorraine	05000	GAP	04 92 52 50 99	44.560275	6.080843
05		GAP	AN	Préfecture - SDIG			04 92 40 48 00		
05		BRIANCON	CP	19, avenue de la République	05100	BRIANÇON	04 92 25 54 54	44.8971317	6.6361698
06	DDSP	NICE	HP	1, Avenue du Maréchal Foch - Nice Centre	06000	NICE	04 92 17 22 22		
06		NICE	CS	45, Ave Emile Rippert - Nice Ariane	06000	NICE	04 93 54 98 67	39.1212883	-122.8386002
