Dept	Pop
01	618632
02	542550
03	342534
04	162923
05	141417
06	1078874
07	320924
08	281866
09	153453
10	305485
11	366604
12	275487
13	1982423
14	688887
15	146464
16	353140
17	634191
18	310370
19	241986
2A	149013
2B	173107
21	528403
22	601822
23	121579
24	418806
25	532549
26	494385
27	595310
28	434711
29	905164
30	733747
31	1289664
32	191082
33	1491170
34	1090052
35	1015427
36	229015
37	598872
38	1232257
39	261174
40	397611
41	334319
42	753550
43	226685
44	1322404
45	665644
46	175860
47	333569
48	77085
49	800424
50	500980
51	566417
52	179729
53	309168
54	735062
55	192867
56	737246
57	1045810
58	216568
59	2588118
60	809140
61	289375
62	1464038
63	639947
64	662236
65	229096
66	459798
67	1104047
68	756973
69	1780837
70	240160
71	556900
72	569029
73	425412
74	767473
75	2273305
76	1252792
77	1361739
78	1418185
79	374151
80	573047
81	381531
82	250334
83	1019910
84	551898
85	657326
86	430677
87	377482
88	376918
89	342060
90	144023
91	1238230
92	1602043
93	1545357
94	1348290
95	1191214
