reg	dep	com_nom	long	lat	pop_2010
11	75	PARIS	2.3522219	48.856614	2240213.09891947
11	77	ACHERES-LA-FORET	2.570289	48.354976	1285.1270621583
11	77	AUBEPIERRE-OZOUER-LE-REPOS	2.890552	48.632323	899.3365158532
11	77	LE CHATELET-EN-BRIE	2.792095	48.504945	4454.9278055597
11	77	CHATENAY-SUR-SEINE	3.096229	48.418774	879.5762166188
11	77	CHATENOY	2.625239	48.2335629	145.3266051133
11	77	CHATILLON-LA-BORDE	2.809321	48.542797	224.9201762225
11	77	CHATRES	2.810069	48.710549	601.2671130544
11	77	CHAUFFRY	3.182638	48.813587	973.6278218692
11	77	CHAUMES-EN-BRIE	2.841244	48.666072	3037.7497843059
11	77	CHELLES	2.59016	48.877535	54472.3989078242
11	77	CHENOISE	3.194421	48.615664	1260.3553132192
11	77	AUFFERVILLE	2.609046	48.214675	564.0582974641
11	77	CHENOU	2.65855	48.165437	287.1179802025
11	77	CHESSY	2.76456	48.879679	4558.7747819564
11	77	CHEVRAINVILLIERS	2.614599	48.2446119	218.8249853725
11	77	CHEVRU	3.194326	48.736013	1129.3084137991
11	77	CHEVRY-COSSIGNY	2.659046	48.725095	3689.6109183159
11	77	CHEVRY-EN-SEREINE	2.942418	48.254415	474.5481209427
11	77	CHOISY-EN-BRIE	3.218017	48.758761	1350.8907702115
11	77	CITRY	3.237548	48.969526	770.1901176171
11	77	CLAYE-SOUILLY	2.68836	48.945849	11517.3615860031
11	77	CLOS-FONTAINE	3.016708	48.606468	235.5529280747
11	77	AUGERS-EN-BRIE	3.356014	48.679174	311.77205298
11	77	COCHEREL	3.100598	49.021652	579.4466592164
11	77	COLLEGIEN	2.672032	48.836583	2969.1053836449
11	77	COMBS-LA-VILLE	2.55769	48.66602	20812.6294566412
11	77	COMPANS	2.663187	48.993391	655.0584525606
11	77	CONCHES-SUR-GONDOIRE	2.716324	48.856193	1788.7300762322
11	77	CONDE-SAINTE-LIBIAIRE	2.832361	48.897805	1426.408670653
11	77	CONGIS-SUR-THEROUANNE	2.97453	49.007185	1808.4251403739
11	77	COUBERT	2.695835	48.671688	1936.6756487267
11	77	COUILLY-PONT-AUX-DAMES	2.860112	48.883901	2090.0113194971
11	77	COULOMBS-EN-VALOIS	3.126108	49.070003	585.1396380469
11	77	AULNOY	3.089204	48.847191	406.633500535
11	77	COULOMMES	2.93356	48.890754	405.6800206949
11	77	COULOMMIERS	3.083497	48.813071	13740.6121793586
11	77	COUPVRAY	2.794171	48.892152	2680.100592532
11	77	COURCELLES-EN-BASSEE	3.0550069	48.408927	237.1734639982
11	77	COURCHAMP	3.288385	48.635345	137.098307209
11	77	COURPALAY	2.960128	48.648117	1340.6588718892
11	77	COURTACON	3.290306	48.695109	191.9582947016
11	77	COURTOMER	2.902965	48.653562	534.0985033102
11	77	COURTRY	2.603204	48.918273	5885.0070348012
11	77	AVON	2.720733	48.404839	14067.1791444682
11	77	COUTENCON	2.99606	48.47108	269.3435835216
11	77	COUTEVROULT	2.8536579	48.86278	955.0027894435
11	77	CRECY-LA-CHAPELLE	2.910674	48.857397	4022.7953636909
11	77	CREGY-LES-MEAUX	2.872952	48.977929	4117.9936716112
11	77	CREVECOEUR-EN-BRIE	2.907322	48.754329	303.9897529656
11	77	CRISENOY	2.743004	48.595981	624.3037230283
11	77	CROISSY-BEAUBOURG	2.659396	48.8279179	1942.5475105214
11	77	LA CROIX-EN-BRIE	3.0751179	48.593094	658.2116861915
11	77	CROUY-SUR-OURCQ	3.074403	49.090669	1717.4800726994
11	77	CUCHARMOY	3.194115	48.583034	242.4118459074
11	77	BABY	3.342684	48.396002	70.3507960926
11	77	CUISY	2.772578	49.019927	463.6048423393
11	77	DAGNY	3.170322	48.717055	341.4568302043
11	77	DAMMARIE-LES-LYS	2.634831	48.515451	19857.8585183417
11	77	DAMMARTIN-EN-GOELE	2.683399	49.054824	7717.7256219957
11	77	DAMMARTIN-SUR-TIGEAUX	2.918746	48.819177	867.5384395829
11	77	DAMPMART	2.7362479	48.885476	3231.2340605479
11	77	DARVAULT	2.736251	48.2713899	786.8757626992
11	77	DHUISY	3.160344	49.039309	272.3274042785
11	77	DIANT	2.993369	48.2814679	217.1241759722
11	77	DONNEMARIE-DONTILLY	3.123497	48.4779709	2733.3014828
11	77	BAGNEAUX-SUR-LOING	2.705274	48.231029	1630.0722511845
11	77	DORMELLES	2.902584	48.315018	867.2687254717
11	77	DOUE	3.163851	48.865373	972.8209057798
11	77	DOUY-LA-RAMEE	2.8705949	49.05657	291.1293894549
11	77	ECHOUBOULAINS	2.945058	48.46373	534.1281199045
11	77	LES ECRENNES	2.856736	48.503636	593.6865640778
11	77	ECUELLES	2.820919	48.353944	2450.5937557094
11	77	EGLIGNY	3.121316	48.427304	333.6508869455
11	77	EGREVILLE	2.871868	48.175288	2199.5405855932
11	77	EMERAINVILLE	2.622037	48.811755	6967.4770382952
11	77	EPISY	2.785141	48.334304	504.2864372684
11	77	ESBLY	2.813534	48.902025	5707.3782683828
11	77	ESMANS	2.975816	48.34783	851.0669650206
11	77	ETREPILLY	2.930433	49.034371	811.8979099869
11	77	EVERLY	3.252027	48.467282	579.439879111
11	77	EVRY-GREGY-SUR-YERRE	2.63923	48.65696	2388.7500872088
11	77	FAREMOUTIERS	2.997246	48.799399	2364.9414600964
11	77	FAVIERES	2.774784	48.764022	1137.3167371337
11	77	FAY-LES-NEMOURS	2.673781	48.2309259	465.6618979249
11	77	FERICY	2.802261	48.4645579	638.895803748
11	77	BAILLY-ROMAINVILLIERS	2.823803	48.847068	6474.8130211956
11	77	FEROLLES-ATTILLY	2.634358	48.7343819	1128.766527619
11	77	FERRIERES-EN-BRIE	2.7047469	48.8215519	2301.7988399236
11	77	LA FERTE-GAUCHER	3.30549	48.780643	4204.0483716311
11	77	LA FERTE-SOUS-JOUARRE	3.130059	48.950507	8969.5308583963
11	77	FLAGY	2.921402	48.312525	646.848545683
11	77	FLEURY-EN-BIERE	2.5492309	48.448246	666.003232104
11	77	FONTAINEBLEAU	2.70162	48.404676	15095.6259048742
11	77	FONTAINE-FOURCHES	3.39481	48.412503	586.2960669277
11	77	FONTAINE-LE-PORT	2.759662	48.485944	973.9706222562
11	77	BALLOY	3.146277	48.398159	314.0214920962
11	77	FONTAINS	3.001769	48.526922	273.9021675684
11	77	FONTENAILLES	2.952495	48.553493	1063.4148439454
11	77	FONTENAY-TRESIGNY	2.866479	48.706897	5141.4198479036
11	77	FORFRY	2.848536	49.057746	264.4097826317
11	77	FORGES	2.960859	48.419369	422.9839065415
11	77	FOUJU	2.777921	48.585682	489.9590058999
11	77	FRESNES-SUR-MARNE	2.740468	48.937613	708.15080911
11	77	FRETOY	3.204391	48.703957	166.8348193478
11	77	FROMONT	2.502971	48.255306	248.1435797007
11	77	FUBLAINES	2.936164	48.9380499	1194.1611876498
11	77	AMILLIS	3.133658	48.737433	768.9797395549
11	77	BANNOST-VILLEGAGNON	3.191049	48.677898	658.5402037044
11	77	GARENTREVILLE	2.549866	48.2351979	105.3898784566
11	77	GASTINS	3.02114	48.628117	641.6567382477
11	77	LA GENEVRAYE	2.751071	48.3164469	638.2238487352
11	77	GERMIGNY-L'EVEQUE	2.945494	48.993659	1207.7932164946
11	77	GERMIGNY-SOUS-COULOMBS	3.158346	49.064162	198.90166772
11	77	GESVRES-LE-CHAPITRE	2.851961	49.044619	164.9566462857
11	77	GIREMOUTIERS	3.029564	48.842636	149.0775656725
11	77	GIRONVILLE	2.5283129	48.185989	188.7756591674
11	77	GOUAIX	3.293361	48.480117	1452.7878426954
11	77	GOUVERNES	2.699218	48.857732	1105.2962040715
11	77	BARBEY	3.057734	48.364855	189.8150692402
11	77	LA GRANDE-PAROISSE	2.900735	48.386235	2592.3976888826
11	77	GRANDPUITS-BAILLY-CARROIS	2.975419	48.58443	935.1062641119
11	77	GRAVON	3.120029	48.3998909	142.0190709387
11	77	GRESSY	2.674049	48.964879	984.4110748854
11	77	GRETZ-ARMAINVILLIERS	2.7366419	48.7402749	7964.5474622165
11	77	GREZ-SUR-LOING	2.690599	48.316069	1388.5107209117
11	77	GRISY-SUISNES	2.668597	48.68471	2383.4037595479
11	77	GRISY-SUR-SEINE	3.317715	48.437473	108.7054997434
11	77	GUERARD	2.950987	48.816643	2262.0681270241
11	77	BARBIZON	2.603497	48.447193	1464.3401575795
11	77	GUERCHEVILLE	2.558063	48.261151	297.6101992603
11	77	GUERMANTES	2.709163	48.8523629	1137.3125862917
11	77	GUIGNES	2.797427	48.637206	3372.417357784
11	77	GURCY-LE-CHATEL	3.087072	48.471334	587.8833804398
11	77	HAUTEFEUILLE	2.962949	48.768026	357.2569176076
11	77	LA HAUTE-MAISON	3.000744	48.881962	316.8557873522
11	77	HERICY	2.764798	48.449164	2549.281099471
11	77	HERME	3.349146	48.483681	597.5602858163
11	77	HONDEVILLIERS	3.316453	48.904733	251.0426726739
11	77	LA HOUSSAYE-EN-BRIE	2.874661	48.754832	1588.5761969001
11	77	BARCY	2.880452	49.0174	227.3031872601
11	77	ICHY	2.545904	48.20378	139.9617964489
11	77	ISLES-LES-MELDEUSES	3.005659	48.999051	795.3568519736
11	77	ISLES-LES-VILLENOY	2.8281139	48.911358	930.6731666733
11	77	IVERNY	2.787868	48.998993	596.2037852021
11	77	JABLINES	2.761107	48.917429	616.8098726845
11	77	JAIGNES	3.052163	48.991486	326.8013403554
11	77	JAULNES	3.270937	48.417827	348.3498689041
11	77	JOSSIGNY	2.75335	48.837864	678.5731421116
11	77	JOUARRE	3.130026	48.92697	4289.8067946419
11	77	JOUY-LE-CHATEL	3.128617	48.665159	1429.578671093
11	77	BASSEVELLE	3.286612	48.927339	334.1508684933
11	77	JOUY-SUR-MORIN	3.27361	48.794082	2067.8998240042
11	77	JUILLY	2.705813	49.015353	2099.3611300397
11	77	JUTIGNY	3.232125	48.498776	593.9740536351
11	77	LAGNY-SUR-MARNE	2.713016	48.87296	20538.103234332
11	77	LARCHANT	2.595654	48.284846	725.5768876059
11	77	LAVAL-EN-BRIE	2.996464	48.424822	465.3764950543
11	77	LECHELLE	3.386313	48.5781149	541.4582746787
11	77	LESCHEROLLES	3.345783	48.762078	482.3857322943
11	77	LESCHES	2.780588	48.908623	733.8083559196
11	77	LESIGNY	2.61491	48.743921	7439.1787606019
11	77	BAZOCHES-LES-BRAY	3.187679	48.398506	796.8319922016
11	77	LEUDON-EN-BRIE	3.269554	48.733568	116.1104394501
11	77	LIEUSAINT	2.551107	48.631195	10615.6292512164
11	77	LIMOGES-FOURCHES	2.664534	48.626922	508.5645120278
11	77	LISSY	2.694303	48.626514	190.9134185723
11	77	LIVERDY-EN-BRIE	2.775059	48.699862	1268.5716563057
11	77	LIVRY-SUR-SEINE	2.684786	48.511018	1912.9604121926
11	77	LIZINES	3.1781419	48.526871	170.9708767536
11	77	LIZY-SUR-OURCQ	3.026478	49.025453	3502.5841030688
11	77	LOGNES	2.6327379	48.836571	13360.0378982319
11	77	LONGPERRIER	2.663501	49.051977	2315.1258153954
11	77	BEAUCHERY-SAINT-MARTIN	3.4042	48.615	408.0448097219
11	77	LONGUEVILLE	3.247348	48.514536	1617.6306451258
11	77	LORREZ-LE-BOCAGE-PREAUX	2.874197	48.223088	1218.4070982718
11	77	LOUAN-VILLEGRUIS-FONTAINE	3.48	48.6256	542.0331223089
11	77	LUISETAINES	3.180571	48.46775	230.1728580755
11	77	LUMIGNY-NESLES-ORMEAUX	2.948911	48.736362	1546.1199553637
11	77	LUZANCY	3.187653	48.972669	1049.5867005849
11	77	MACHAULT	2.828899	48.455316	698.8595759528
11	77	LA MADELEINE-SUR-LOING	2.705568	48.203873	337.6788092856
11	77	MAGNY-LE-HONGRE	2.814889	48.862993	6405.3664805544
11	77	MAINCY	2.701063	48.549769	1680.5616080199
11	77	BEAUMONT-DU-GATINAIS	2.4764565	48.1392779	1209.3181375216
11	77	MAISONCELLES-EN-BRIE	2.990862	48.861909	881.8910054518
11	77	MAISONCELLES-EN-GATINAIS	2.626049	48.187434	138.8137022415
11	77	MAISON-ROUGE	3.151747	48.55862	863.0751209737
11	77	MARCHEMORET	2.77118	49.050413	623.1122803053
11	77	MARCILLY	2.877401	49.036564	417.3001958607
11	77	LES MARETS	3.314097	48.670626	150.4874485744
11	77	MAREUIL-LES-MEAUX	2.85968	48.927228	2142.3697329812
11	77	MARLES-EN-BRIE	2.879155	48.728161	1426.71913825
11	77	MAROLLES-EN-BRIE	3.164424	48.771532	425.0592867155
11	77	MAROLLES-SUR-SEINE	3.035295	48.387036	1619.7005027049
11	77	BEAUTHEIL	3.087455	48.762974	733.3192352199
11	77	MARY-SUR-MARNE	3.029875	49.01483	1184.9053977414
11	77	MAUPERTHUIS	3.039273	48.7681929	488.1497839763
11	77	MAUREGARD	2.580725	49.032928	286.7548915755
11	77	MAY-EN-MULTIEN	3.027701	49.073811	851.5914843611
11	77	MEAUX	2.879255	48.959396	48672.2243282285
11	77	LE MEE-SUR-SEINE	2.632122	48.534031	19789.0744754767
11	77	MEIGNEUX	3.10363	48.511401	227.1161607255
11	77	MEILLERAY	3.424258	48.788533	506.7440307918
11	77	MELUN	2.6554	48.542105	39584.4609093577
11	77	MELZ-SUR-SEINE	3.416785	48.497692	385.3677617006
11	77	BEAUVOIR	2.862701	48.6447379	190.8486115356
11	77	MERY-SUR-MARNE	3.201474	48.966494	633.0387606837
11	77	LE MESNIL-AMELOT	2.5923759	49.017823	922.985139768
11	77	MESSY	2.701035	48.967136	1147.3996184379
11	77	MISY-SUR-YONNE	3.089341	48.359721	978.762844515
11	77	MITRY-MORY	2.619156	48.98543	18309.7250115751
11	77	MOISENAY	2.738782	48.563482	1090.1081195958
11	77	MOISSY-CRAMAYEL	2.593706	48.627158	16890.2856013001
11	77	MONDREVILLE	2.609734	48.142658	346.1249739256
11	77	MONS-EN-MONTOIS	3.147955	48.489061	470.745538204
11	77	MONTARLOT	2.85797	48.351961	191.8140850705
11	77	AMPONVILLE	2.529407	48.279336	397.8543882451
11	77	BELLOT	3.31897	48.857006	811.1049671504
11	77	MONTCEAUX-LES-MEAUX	2.985497	48.941482	608.359407357
11	77	MONTCEAUX-LES-PROVINS	3.437441	48.694152	317.7628559362
11	77	MONTCOURT-FROMONVILLE	2.700967	48.302946	2064.0193497418
11	77	MONTDAUPHIN	3.414141	48.849711	231.3134637391
11	77	MONTENILS	3.476823	48.841803	33.9305563463
11	77	MONTEREAU-FAULT-YONNE	2.956193	48.384734	15945.9820001388
11	77	MONTEREAU-SUR-LE-JARD	2.672559	48.589506	551.8035715291
11	77	MONTEVRAIN	2.745977	48.874927	8673.6607815802
11	77	MONTGE-EN-GOELE	2.748872	49.028359	708.8850890715
11	77	MONTHYON	2.8318279	49.010494	1718.921788987
11	77	BERNAY-VILBERT	2.9383	48.6769	831.1834495743
11	77	MONTIGNY-LE-GUESDIER	3.254057	48.3833089	286.8344702754
11	77	MONTIGNY-LENCOUP	3.060868	48.452553	1252.1055315411
11	77	MONTIGNY-SUR-LOING	2.744978	48.335458	2646.7965657454
11	77	MONTMACHOUX	2.993637	48.319086	227.8260522962
11	77	MONTOLIVET	3.439724	48.829459	266.80461019
11	77	MONTRY	2.8283999	48.886866	3275.6310797036
11	77	MORET-SUR-LOING	2.816429	48.373347	4331.8991468375
11	77	MORMANT	2.888184	48.610984	4205.025637739
11	77	MORTCERF	2.919072	48.7949	1445.8998771476
11	77	MORTERY	3.259481	48.599362	176.3814089726
11	77	BETON-BAZOCHES	3.245831	48.701067	764.1767432304
11	77	MOUROUX	3.0391119	48.824685	4814.149696722
11	77	MOUSSEAUX-LES-BRAY	3.229278	48.41049	673.6711995711
11	77	MOUSSY-LE-NEUF	2.603502	49.064014	2722.3299074475
11	77	MOUSSY-LE-VIEUX	2.624373	49.047188	1063.7051879064
11	77	MOUY-SUR-SEINE	3.243799	48.420719	368.8620922702
11	77	NANDY	2.56649	48.58047	5196.1602951336
11	77	NANGIS	3.013535	48.554611	7746.73425095
11	77	NANTEAU-SUR-ESSONNE	2.427158	48.321032	425.7229707941
11	77	NANTEAU-SUR-LUNAIN	2.809272	48.256113	732.1668498181
11	77	BEZALLES	3.241995	48.678058	237.1296375571
11	77	NANTEUIL-LES-MEAUX	2.897243	48.928386	5195.5217557648
11	77	NANTEUIL-SUR-MARNE	3.220698	48.978081	452.6144322354
11	77	NANTOUILLET	2.707279	49.002425	256.9885546994
