"commune","type","infraction","code_reg","code_dep","lat","lng","ville_ref"
"Abaucourt","P",28.94,41,"54",48.8928445916,6.26559712571,"Nancy"
"Abbecourt","P",33.080000000000005,22,"60",49.361199272,2.15509033815,"Méru"
"Abbéville-lès-Conflans","P",18.520000000000003,41,"54",49.2002692912,5.84406780319,"Briey"
"Abère","P",13.530000000000001,72,"64",43.3870958576,-0.174833109291,"Pau"
"Abergement-le-Grand","P",24.46,43,"39",46.9142864988,5.67853452364,"Dole"
"Abitain","P",18.33,72,"64",43.4173386214,-0.99809023231,"Orthez"
"Ablis","P",33.65,11,"78",48.5283257707,1.85096499421,"Rambouillet"
"Aboncourt","P",22.09,41,"57",49.2565158648,6.35416455836,"Thionville"
"Aboncourt-sur-Seille","P",15.78,41,"57",48.8186679657,6.35583662298,"Sarrebourg"
"Abrest","P",44.67,83,"03",46.0955766716,3.45052482175,"Vichy"
"Accons","P",22.980000000000004,82,"07",44.8885328213,4.39242968382,"Tournon-sur-Rhône"
"Achères","P",24.410000000000004,24,"18",47.2826534372,2.45877786434,"Bourges"
"Achey","P",20.28,43,"70",47.5770070289,5.60745476371,"Vesoul"
"Achy","P",29.380000000000003,22,"60",49.5562211633,1.97185766368,"Beauvais"
"Aclou","P",26.09,23,"27",49.1655546426,0.698293841066,"Bernay"
"Acquigny","P",23.19,23,"27",49.1648717394,1.1765581743,"Louviers"
"Adam-lès-Passavant","P",25.520000000000003,43,"25",47.3045713356,6.36894975342,"Besançon"
"Adelange","P",17.189999999999998,41,"57",49.0079073828,6.60632652354,"Boulay-Moselle"
"Adervielle-Pouchergues","P",20.43,73,"65",42.8017280148,0.389922766373,"Bagnères-de-Bigorre"
"Adriers","P",12.24,54,"86",46.2646103374,0.789659194144,"Montmorillon"
"Agassac","P",25.51,73,"31",43.3720949705,0.885301441873,"Saint-Gaudens"
"Agencourt","P",24.460000000000004,26,"21",47.1250474303,4.98564114053,"Beaune"
"Agmé","P",31.93,72,"47",44.4893814272,0.340441106525,"Marmande"
"Agnez-lès-Duisans","P",18.33,31,"62",50.3102322126,2.65021288373,"Arras"
"Agnières","P",16.729999999999997,31,"62",50.3535942668,2.60772514318,"Saint-Pol-sur-Ternoise"
"Agon-Coutainville","P",12.620000000000001,25,"50",49.0388327181,-1.58144574808,"Coutances"
"Aguessac","P",15.04,73,"12",44.1613901609,3.06898957805,"Millau"
"Ahetze","P",11.979999999999999,72,"64",43.4042762685,-1.57067985884,"Bayonne"
"Ahuillé","P",16.25,52,"53",48.0242749675,-0.872848003304,"Laval"
"Aïcirits-Camou-Suhast","P",7.590000000000001,72,"64",43.3536564293,-1.01649248098,"Mauléon-Licharre"
"Aiglun","P",25.52,93,"06",43.8524188,6.934942333,"Puget-Théniers"
"Aignerville","P",19.869999999999997,25,"14",49.3261867283,-0.918465184477,"Bayeux"
"Aigrefeuille","P",37.96,73,"31",43.5693635882,1.58421445375,"Toulouse Saint-Michel"
"Aigremont","P",48.4,11,"78",48.9008380509,2.0153630611,"Saint-Germain-en-Laye"
"Aiguebelette-le-Lac","P",34.489999999999995,82,"73",45.5476875903,5.81387589748,"Chambéry"
"Aigueperse","P",21.67,82,"69",46.2801268832,4.42330722719,"Villefranche-sur-Saône"
"Aiguèze","P",46.870000000000005,91,"30",44.3160186564,4.51739879151,"Bagnols-sur-Cèze"
"Aigurande","P",15.01,24,"36",46.455684191,1.83976972145,"Châtre (La)"
"Aillant-sur-Milleron","P",35.489999999999995,24,"45",47.7948800184,2.93667863104,"Montargis"
"Ailleville","P",36.410000000000004,21,"10",48.2549995704,4.69449329268,"Bar-sur-Aube"
