"Label","Ville","Tel","Code Postal","Adresse","Longitude","Latitude","Type","codgeo","Code Région","nbAgents"
"Brigade territoriale autonome de Mions","MIONS","+33 4 72 90 17 70",69780,"10 Rue Joanny Sage 69780 MIONS",4.95504,45.666762,"Gendarmerie",,,
"Brigade territoriale autonome de ChÃ¢teauneuf-du-Pape","CHATEAUNEUF DU PAPE",,84230,"Les Mascaronnes - Chemin de Boursan 84230 CHATEAUNEUF DU PAPE",4.834864,44.050423,"Gendarmerie",,,
"Brigade territoriale autonome de ChÃ¢tillon-en-Michaille","CHATILLON EN MICHAILLE","+33 4 50 48 22 99",1200,"186 AllÃ©e Saint-Christophe 01200 CHATILLON EN MICHAILLE",5.770673,46.13079,"Gendarmerie",,,
"Brigade territoriale autonome d'Hallennes-lez-Haubourdin","HALLENNES LEZ HAUBOURDIN","+33 3 20 07 17 03",59320,"2 bis Avenue Marie-Madeleine Dupuis 59320 HALLENNES LEZ HAUBOURDIN",2.957628,50.613952,"Gendarmerie",,,
"Brigade territoriale autonome de Merlimont","MERLIMONT","+33 3 21 89 78 90",62155,"100 AllÃ©e des Courlis 62155 MERLIMONT",1.616087,50.451506,"Gendarmerie",,,
"Brigade territoriale autonome de Hoymille","HOYMILLE","+33 3 28 68 65 22",59492,"Caserne Dumont Chemin DÃ©partemental 916 A 59492 HOYMILLE",2.453984,50.973912,"Gendarmerie",,,
"Brigade territoriale autonome de Robion","ROBION","+33 4 90 78 01 30",84440,"120 Avenue AndrÃ© Dumoulin 84440 ROBION",5.103536,43.845816,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Paul-en-Jarez","ST PAUL EN JAREZ","+33 4 77 73 22 07",42740,"90 Route de la MerlanchonniÃ¨re La MerlanchonniÃ¨re 42740 ST PAUL EN JAREZ",4.577454,45.484619,"Gendarmerie",,,
"Brigade territoriale autonome de Bondoufle","BONDOUFLE","+33 1 60 79 72 00",91070,"Route DÃ©partementale 194 91070 BONDOUFLE",2.379389,48.615213,"Gendarmerie",,,
"Brigade territoriale autonome de Bormes-les-Mimosas","BORMES LES MIMOSAS","+33 4 94 71 11 92",83230,"207 Avenue AndrÃ© Del Monte 83230 BORMES LES MIMOSAS",6.358365,43.107947,"Gendarmerie",,,
"Brigade territoriale autonome de la FarlÃ¨de","LA FARLEDE","+33 4 94 28 90 16",83210,"200 Route Nationale 97 83210 LA FARLEDE",6.041687,43.162378,"Gendarmerie",,,
"Brigade territoriale autonome de Bompas","BOMPAS","+33 4 68 53 74 60",66430,"Route de Villelongue 66430 BOMPAS",2.94262,42.727805,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Jean-de-VÃ©das","ST JEAN DE VEDAS","+33 4 67 99 45 70",34430,"330 Avenue de Librilla 34430 ST JEAN DE VEDAS",3.831644,43.574269,"Gendarmerie",,,
"Brigade territoriale autonome de Cabestany","CABESTANY","+33 4 68 29 35 20",66330,"2 Avenue du 19 Mars 1962 ZA Le Moulinas 66330 CABESTANY",2.93532,42.679268,"Gendarmerie",,,
"Brigade territoriale autonome d'Irigny","IRIGNY","+33 4 78 50 30 33",69540,"20 Avenue Jean Gotail 69540 IRIGNY",4.823656,45.670327,"Gendarmerie",,,
"Brigade territoriale autonome de CÃ©ly","CELY","+33 1 64 81 90 85",77930,"9 Rue Edouard Goerg 77930 CELY",2.527767,48.458441,"Gendarmerie",,,
"Brigade territoriale autonome de Jacou-Clapiers","CLAPIERS","+33 4 99 63 68 50",34830,"10 Avenue de l'Europe 34830 CLAPIERS",3.900993,43.662196,"Gendarmerie",,,
"Brigade territoriale autonome de Tatinghem","LONGUENESSE","+33 3 21 38 14 17",62219,"1 Rue Rembrandt 62219 LONGUENESSE",2.27184,50.74184,"Gendarmerie",,,
"Brigade territoriale autonome de Basse-Goulaine","BASSE GOULAINE","+33 2 40 80 56 93",44115,"80 Rue de Goulaine 44115 BASSE GOULAINE",-1.459931,47.20722,"Gendarmerie",,,
"Brigade territoriale autonome de Betton","BETTON","+33 2 99 55 85 38",35830,"63 Avenue d'Armorique 35830 BETTON",-1.649721,48.185,"Gendarmerie",,,
"Brigade territoriale autonome de Roissy-en-France","ROISSY EN FRANCE","+33 1 30 11 61 80",95700,"3 Chemin de la VallÃ©e 95700 ROISSY EN FRANCE",2.508305,49.00287,"Gendarmerie",,,
"Brigade territoriale autonome de Beauzelle","BEAUZELLE","+33 5 62 74 51 70",31700,"50 Rue de la RÃ©publique 31700 BEAUZELLE",1.376147,43.665163,"Gendarmerie",,,
"Brigade territoriale autonome de Brenouille","BRENOUILLE","+33 3 44 27 34 17",60870,"1 Rue de la Planchette 60870 BRENOUILLE",2.541462,49.30636,"Gendarmerie",,,
"Brigade territoriale autonome de ChÃ¢tenoy-le-Royal","CHATENOY LE ROYAL","+33 3 85 98 97 40",71880,"2 Rue Lucie Aubrac 71880 CHATENOY LE ROYAL",4.809718,46.798096,"Gendarmerie",,,
"Brigade territoriale autonome du TrÃ©port","LE TREPORT","+33 2 35 86 14 66",76470,"2 Rue Albert Edward Dixon 76470 LE TREPORT",1.375917,50.05254,"Gendarmerie",,,
"Brigade territoriale autonome de Palavas-les-Flots","PALAVAS LES FLOTS","+33 4 67 07 01 20",34250,"1 Rue de la Tramontane 34250 PALAVAS LES FLOTS",3.932369,43.530549,"Gendarmerie",,,
"Brigade territoriale autonome de Graveson","GRAVESON","+33 4 32 61 96 40",13690,"12 Avenue GÃ©nÃ©ral de gaulle 13690 GRAVESON",4.780804,43.849294,"Gendarmerie",,,
"Brigade territoriale autonome de Phalempin","PHALEMPIN","+33 3 28 55 25 20",59133,"18 Rue du Ponchelet 59133 PHALEMPIN",3.01384,50.520573,"Gendarmerie",,,
"Brigade territoriale autonome de Port-Saint-Louis-du-RhÃ´ne","PORT ST LOUIS DU RHONE","+33 4 42 86 50 21",13230,"35 Avenue de la RÃ©publique 13230 PORT ST LOUIS DU RHONE",4.809011,43.389654,"Gendarmerie",,,
"Brigade territoriale autonome de Niederbronn-les-Bains-Reichshoffen","REICHSHOFFEN","+33 3 88 05 84 10",67110,"51 Route d'Oberbronn 67110 REICHSHOFFEN",7.651268,48.93338,"Gendarmerie",,,
"Brigade territoriale autonome de Wittelsheim","WITTELSHEIM","+33 3 89 55 59 79",68310,"40 Rue Jean Mermoz 68310 WITTELSHEIM",7.23725,47.798103,"Gendarmerie",,,
"Brigade territoriale autonome de MÃ©ry-sur-Oise","MERY SUR OISE","+33 1 30 36 06 00",95540,"4 Avenue Marcel Perrin 95540 MERY SUR OISE",2.183138,49.066219,"Gendarmerie",,,
"Brigade territoriale autonome de Magny-les-Hameaux","MAGNY LES HAMEAUX","+33 1 30 52 07 94",78114,"1 Rue Marc-Antoine Charpentier 78114 MAGNY LES HAMEAUX",2.081645,48.725614,"Gendarmerie",,,
"Brigade territoriale autonome de Romorantin-Lanthenay","ROMORANTIN LANTHENAY","+33 2 54 83 48 12",41200,"4 Rue du Four Ã  Chaux 41200 ROMORANTIN LANTHENAY",1.746475,47.35896,"Gendarmerie",,,
"Brigade territoriale autonome de Lambesc","LAMBESC","+33 4 42 57 09 51",13410,"Quartier Bertoire 6 Avenue ClÃ©ment Fauchier 13410 LAMBESC",5.261141,43.648207,"Gendarmerie",,,
"Brigade territoriale autonome de Vern-sur-Seiche","VERN SUR SEICHE","+33 2 99 62 90 32",35770,"Lieu-dit Le Patis Fraux 35770 VERN SUR SEICHE",-1.609357,48.045005,"Gendarmerie",,,
"Brigade territoriale autonome de Venelles","VENELLES","+33 4 42 54 25 70",13770,"13 Rue de la Bergerie 13770 VENELLES",5.48722,43.600958,"Gendarmerie",,,
"Brigade territoriale autonome de l'Isle-d'Abeau","L ISLE D ABEAU","+33 4 74 27 13 32",38080,"18 Rue de Lans 38080 L ISLE D ABEAU",5.220167,45.619363,"Gendarmerie",,,
"Brigade territoriale autonome de l'Isle-Adam","L ISLE ADAM","+33 1 34 69 73 30",95290,"32 Grande Rue 95290 L ISLE ADAM",2.216779,49.112193,"Gendarmerie",,,
"Brigade territoriale autonome de Mundolsheim","MUNDOLSHEIM","+33 3 88 19 07 67",67450,"20 Rue du Haldenbourg 67450 MUNDOLSHEIM",7.707185,48.635321,"Gendarmerie",,,
"Brigade territoriale autonome de Geispolsheim","GEISPOLSHEIM","+33 3 88 68 61 62",67118,"2 Rue de SÃ©nÃ© 67118 GEISPOLSHEIM",7.654253,48.517368,"Gendarmerie",,,
"Brigade territoriale autonome de Mouans-Sartoux","MOUANS SARTOUX","+33 4 93 75 27 46",6370,"216 Avenue de Cannes 06370 MOUANS SARTOUX",6.972578,43.617942,"Gendarmerie",,,
"Brigade territoriale autonome de LanÃ§on-Provence","LANCON PROVENCE","+33 4 90 42 92 22",13680,"541 Chemin des PinÃ¨des 13680 LANCON PROVENCE",5.136956,43.596676,"Gendarmerie",,,
"Brigade territoriale autonome de Villeneuve-lÃ¨s-Maguelone","VILLENEUVE LES MAGUELONE","+33 4 67 69 52 69",34750,"364 Avenue de la Gare 34750 VILLENEUVE LES MAGUELONE",3.858801,43.535637,"Gendarmerie",,,
"Brigade territoriale autonome de Villefontaine","VILLEFONTAINE","+33 4 74 95 60 17",38090,"6 Rue Montgolfier 38090 VILLEFONTAINE",5.141903,45.61815,"Gendarmerie",,,
"Brigade territoriale autonome de PacÃ©","PACE","+33 2 99 60 13 14",35740,"21 bis Avenue Charles Le Goffic 35740 PACE",-1.780089,48.151176,"Gendarmerie",,,
"Brigade territoriale autonome de QuÃ©rigut","QUERIGUT","+33 4 68 20 40 17",9460,"Route de FormiguÃ¨res 09460 QUERIGUT",2.111295,42.686854,"Gendarmerie",,,
"Brigade territoriale autonome de Montsoult","MONTSOULT","+33 1 34 73 53 10",95560,"Rue Parmentier 95560 MONTSOULT",2.317173,49.067676,"Gendarmerie",,,
"Brigade territoriale autonome de Velaux","VELAUX","+33 4 42 34 70 80",13880,"1 Avenue Antoinette de Beaucaire 13880 VELAUX",5.248386,43.533507,"Gendarmerie",,,
"Brigade territoriale autonome de Noisy-le-Roi","NOISY LE ROI","+33 1 61 06 22 10",78590,"102 Rue AndrÃ© Lebourblanc 78590 NOISY LE ROI",2.057898,48.847483,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-GÃ©ly-du-Fesc","ST GELY DU FESC","+33 4 67 91 73 00",34980,"15 Rue des VerriÃ¨s 34980 ST GELY DU FESC",3.808165,43.680581,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Clair-du-RhÃ´ne","ST CLAIR DU RHONE","+33 4 74 56 37 00",38370,"74 Rue Charles PÃ©guy 38370 ST CLAIR DU RHONE",4.771648,45.437101,"Gendarmerie",,,
"Brigade territoriale autonome de Tassin-la-Demi-Lune","TASSIN LA DEMI LUNE","+33 4 78 34 11 11",69160,"31 Avenue du 8 Mai 1945 69160 TASSIN LA DEMI LUNE",4.773379,45.760417,"Gendarmerie",,,
"Brigade territoriale autonome de Valbonne","VALBONNE","+33 4 93 65 22 40",6560,"Impasse du GÃ©nÃ©ral Delfosse Sophia-Antipolis 06560 VALBONNE",7.04526,43.622169,"Gendarmerie",,,
"Brigade territoriale autonome de Ballancourt-sur-Essonne","BALLANCOURT SUR ESSONNE","+33 1 64 93 43 01",91610,"30 Rue Jeanne Pinet 91610 BALLANCOURT SUR ESSONNE",2.386605,48.529657,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Just-Saint-Rambert","ST JUST ST RAMBERT","+33 4 77 52 34 77",42170,"250 Route de Saint-Marcellin 42170 ST JUST ST RAMBERT",4.230421,45.498424,"Gendarmerie",,,
"Brigade territoriale autonome de Seynod","SEYNOD","+33 4 50 69 13 35",74600,"12 Rue des FrÃªnes 74600 SEYNOD",6.096182,45.888873,"Gendarmerie",,,
"Brigade territoriale autonome du Soler","LE SOLER","+33 4 68 92 58 00",66270,"11 Avenue de la RÃ©publique 66270 LE SOLER",2.779481,42.679258,"Gendarmerie",,,
"Brigade territoriale autonome de Cestas","CESTAS","+33 5 57 83 83 10",33610,"3 Avenue du 19 Mars 1962 33610 CESTAS",-0.6839,44.742417,"Gendarmerie",,,
"Brigade territoriale autonome d'Orgeval","ORGEVAL","+33 1 39 08 24 00",78630,"52 Rue de la Gare 78630 ORGEVAL",1.972762,48.923777,"Gendarmerie",,,
"Brigade territoriale autonome de Mougins","MOUGINS","+33 4 93 75 50 00",6250,"601 Chemin de Campane 06250 MOUGINS",6.99921,43.588027,"Gendarmerie",,,
"Brigade territoriale autonome Les-Deux-Alpes","MONT DE LANS","+33 4 76 80 58 57",38860,"6 Rue des Sagnes 38860 MONT DE LANS",6.123056,45.00791,"Gendarmerie",,,
"Brigade territoriale autonome de Scionzier","SCIONZIER","+33 4 50 18 49 90",74950,"130 Rue de la Gendarmerie 74950 SCIONZIER",6.54573,46.049802,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-EstÃ¨ve","ST ESTEVE","+33 4 68 92 30 22",66240,"Avenue de Baixas 66240 ST ESTEVE",2.838304,42.721827,"Gendarmerie",,,
"Brigade territoriale autonome de Villeneuve-Loubet","VILLENEUVE LOUBET","+33 4 93 20 62 04",6270,"167 AllÃ©e du Professeur RenÃ© Cassin 06270 VILLENEUVE LOUBET",7.127762,43.652682,"Gendarmerie",,,
"Brigade territoriale autonome du Bourg-d'Oisans","LE BOURG D OISANS","+33 4 76 80 00 17",38520,"Avenue Aristide Briand 38520 LE BOURG D OISANS",6.03439,45.056525,"Gendarmerie",,,
"Brigade territoriale autonome de Seyssinet-Pariset","SEYSSINET PARISET","+33 4 76 21 55 22",38170,"24 Avenue du Vercors 38170 SEYSSINET PARISET",5.687461,45.18135,"Gendarmerie",,,
"Brigade territoriale autonome de Breuillet","BREUILLET","+33 1 64 58 55 88",91650,"75 Route de Saint-ChÃ©ron 91650 BREUILLET",2.168216,48.573931,"Gendarmerie",,,
"Brigade territoriale autonome de Brignais","BRIGNAIS","+33 4 78 05 18 42",69530,"20 Rue du PresbytÃ¨re 69530 BRIGNAIS",4.762006,45.672911,"Gendarmerie",,,
"Brigade territoriale autonome des Baux-de-Provence","LES BAUX DE PROVENCE","+33 4 90 54 34 91",13520,"Route de Saint-RÃ©my 13520 LES BAUX DE PROVENCE",4.805377,43.745251,"Gendarmerie",,,
"Brigade territoriale autonome d'Ãguilles","EGUILLES","+33 4 42 92 53 55",13510,"Boulevard LÃ©once Artaud 13510 EGUILLES",5.358454,43.568337,"Gendarmerie",,,
"Brigade territoriale autonome de Val-d'IsÃ¨re","VAL D ISERE","+33 4 79 06 03 41",73150,"Les Richardes II Avenue du Prariond 73150 VAL D ISERE",6.980653,45.448712,"Gendarmerie",,,
"Brigade territoriale autonome de Fosses","FOSSES","+33 1 34 72 10 20",95470,"41 Avenue de la Haute-GrÃ¨ve 95470 FOSSES",2.509733,49.099196,"Gendarmerie",,,
"Brigade territoriale autonome de Rixheim","RIXHEIM","+33 3 89 44 23 44",68170,"2 Rue d'Angleterre 68170 RIXHEIM",7.415601,47.746241,"Gendarmerie",,,
"Brigade territoriale autonome de Folschviller","FOLSCHVILLER","+33 3 87 92 10 17",57730,"13 Impasse Sainte-GeneviÃ¨ve 57730 FOLSCHVILLER",6.687794,49.07231,"Gendarmerie",,,
"Brigade territoriale autonome de Tours","TOURS","+33 2 47 31 37 75",37000,"Caserne Raby 171 Avenue de Grammont 37000 TOURS",0.69379,47.377631,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Martin-de-Belleville","ST MARTIN DE BELLEVILLE","+33 4 79 00 65 46",73440,"Quartier Preyerand Les Menuires 73440 ST MARTIN DE BELLEVILLE",6.521591,45.34155,"Gendarmerie",,,
"Brigade territoriale autonome d'Orry-la-Ville","ORRY LA VILLE","+33 3 44 58 34 17",60560,"59 Rue de la Chapelle 60560 ORRY LA VILLE",2.51859,49.131852,"Gendarmerie",,,
"Brigade territoriale autonome d'Andernos-les-Bains","ANDERNOS LES BAINS","+33 5 57 76 08 90",33510,"9 Avenue d'ArÃ¨s 33510 ANDERNOS LES BAINS",-1.108454,44.750462,"Gendarmerie",,,
"Brigade territoriale autonome d'Ampuis","AMPUIS","+33 4 74 56 10 26",69420,"1 Rue Jean Julien Chapelant 69420 AMPUIS",4.809211,45.489408,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Georges-d'Orques","ST GEORGES D ORQUES","+33 4 67 75 18 99",34680,"5 Avenue de l'Occitanie 34680 ST GEORGES D ORQUES",3.784681,43.607191,"Gendarmerie",,,
"Brigade territoriale autonome de Port-Leucate","LEUCATE","+33 4 68 40 04 11",11370,"Avenue de Septimanie 11370 LEUCATE",3.040629,42.858311,"Gendarmerie",,,
"Brigade territoriale autonome de Grand-Santi","GRAND SANTI","+33 5 94 37 42 02",97340,"Le bourg 97340 GRAND SANTI",1.919463,45.489565,"Gendarmerie",,,
"Brigade territoriale autonome de Rousset","ROUSSET","+33 4 42 29 00 03",13790,"700 Quartier le Jas 13790 ROUSSET",5.628128,43.498453,"Gendarmerie",,,
"Brigade territoriale autonome de Quetigny","QUETIGNY","+33 3 80 46 33 36",21800,"1 AllÃ©e des Jardins 21800 QUETIGNY",5.121321,47.317169,"Gendarmerie",,,
"Brigade territoriale autonome de Latresne","LATRESNE","+33 5 57 97 16 60",33360,"9 Chemin du Stade 33360 LATRESNE",-0.491613,44.787624,"Gendarmerie",,,
"Brigade territoriale autonome de Gujan-Mestras","GUJAN MESTRAS","+33 5 57 52 74 30",33470,"87 Avenue de CÃ©sarÃ©e 33470 GUJAN MESTRAS",-1.072745,44.624276,"Gendarmerie",,,
"Brigade territoriale autonome de Bouguenais","BOUGUENAIS","+33 2 40 65 16 79",44340,"23 Rue Gutemberg 44340 BOUGUENAIS",-1.617159,47.172521,"Gendarmerie",,,
"Brigade territoriale autonome de Carry-le-Rouet","CARRY LE ROUET","+33 4 42 45 00 04",13620,"Quartier des Loges Avenue Pierre SÃ©mard 13620 CARRY LE ROUET",5.154661,43.33669,"Gendarmerie",,,
"Brigade territoriale autonome de Mer","MER","+33 2 54 81 41 20",41500,"1 Avenue du GÃ©nÃ©ral de Gaulle 41500 MER",1.505072,47.709277,"Gendarmerie",,,
"Brigade territoriale autonome d'Amboise","AMBOISE","+33 2 47 30 63 70",37400,"1 Boulevard Anatole France 37400 AMBOISE",0.982646,47.418663,"Gendarmerie",,,
"Brigade territoriale autonome de Nogent-le-Roi","NOGENT LE ROI","+33 2 37 38 05 20",28210,"9 Route de Dreux 28210 NOGENT LE ROI",1.519624,48.652386,"Gendarmerie",,,
"Brigade territoriale autonome d'Anet","ANET","+33 2 37 62 59 90",28260,"Rue Hubert Baraine 28260 ANET",1.43526,48.853102,"Gendarmerie",,,
"Brigade territoriale autonome de Saint-Florent-sur-Cher","ST FLORENT SUR CHER","+33 2 48 55 87 00",18400,"6 Rue Jean Moulin 18400 ST FLORENT SUR CHER",2.25082,46.995903,"Gendarmerie",,,
"Brigade territoriale autonome de Malesherbes","MALESHERBES","+33 2 38 34 45 90",45330,"22 Rue de Boigneville 45330 MALESHERBES",2.408155,48.296741,"Gendarmerie",,,
"Brigade territoriale autonome de Pithiviers","PITHIVIERS","+33 2 38 06 12 20",45300,"Caserne La Haye 62 Faubourg d'OrlÃ©ans 45300 PITHIVIERS",2.249389,48.167932,"Gendarmerie",,,
"Brigade territoriale autonome de ChÃ¢tillon-Coligny","CHATILLON COLIGNY","+33 2 38 96 88 45",45230,"1 Rue de l'Avenir - Sainte-GeneviÃ¨ve 45230 CHATILLON COLIGNY",2.874815,47.825307,"Gendarmerie",,,
"Brigade territoriale autonome de Sully-sur-Loire","SULLY SUR LOIRE","+33 2 38 36 86 10",45600,"1 Rue Boucicaut 45600 SULLY SUR LOIRE",2.3697,47.758777,"Gendarmerie",,,
"Brigade territoriale autonome de Gien","GIEN","+33 2 38 05 11 30",45500,"3 Avenue Jean Villejean 45500 GIEN",2.634931,47.691634,"Gendarmerie",,,
"Brigade territoriale autonome de ChÃ©cy","CHECY","+33 2 38 46 83 60",45430,"128 Rue de la HerpiniÃ¨re 45430 CHECY",2.040365,47.893694,"Gendarmerie",,,
"Brigade territoriale autonome de ChÃ¢teauneuf-sur-Loire","CHATEAUNEUF SUR LOIRE","+33 2 38 46 86 70",45110,"91 Boulevard de Verdun 45110 CHATEAUNEUF SUR LOIRE",2.240526,47.860968,"Gendarmerie",,,
