"Tableau 16. Faits constatés par la police et la gendarmerie, par département de France métropolitaine, en 2011.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Index de l'Etat 4001","Ain","Aisne","Allier","Alpes-de-Haute-Provence","Hautes-Alpes","Alpes-Maritimes","Ardèche","Ardennes","Ariège","Aube","Aude","Aveyron","Bouches-du-Rhône","Calvados","Cantal","Charente","Charente-Maritime","Cher","Corrèze","Côte-d'Or","Côtes-d'Armor","Creuse","Dordogne","Doubs","Drôme","Eure","Eure-et-Loir","Finistère","Corse-du-Sud","Haute-Corse","Gard","Haute-Garonne","Gers","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Jura","Landes","Loir-et-Cher","Loire","Haute-Loire","Loire-Atlantique","Loiret","Lot","Lot-et-Garonne","Lozère","Maine-et-Loire","Manche","Marne","Haute-Marne","Mayenne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nièvre","Nord","Oise","Orne","Pas-de-Calais","Puy-de-Dôme","Pyrénées-Atlantiques","Hautes-Pyrénées","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Savoie","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Deux-Sèvres","Somme","Tarn","Tarn-et-Garonne","Var","Vaucluse","Vendée","Vienne","Haute-Vienne","Vosges","Yonne","Territoire de Belfort","Essonne","Hauts-de-Seine","Seine-Saint-Denis","Val-de-Marne","Val-d'Oise"
"Règlements de compte entre malfaiteurs","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","17.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","8.0","5.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","1.0","0.0","1.0"
"Homicides pour voler et à l'occasion de vols","0.0","0.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","4.0","1.0","3.0"
"Homicides pour d'autres motifs","5.0","2.0","4.0","0.0","1.0","13.0","1.0","4.0","1.0","1.0","5.0","0.0","36.0","0.0","0.0","5.0","9.0","5.0","1.0","0.0","6.0","3.0","2.0","7.0","3.0","4.0","6.0","9.0","6.0","6.0","6.0","16.0","0.0","11.0","17.0","4.0","1.0","4.0","8.0","6.0","5.0","3.0","4.0","3.0","6.0","6.0","1.0","3.0","1.0","2.0","6.0","7.0","2.0","1.0","8.0","1.0","3.0","4.0","1.0","24.0","10.0","3.0","9.0","5.0","12.0","1.0","8.0","4.0","4.0","16.0","3.0","6.0","7.0","2.0","8.0","34.0","15.0","6.0","10.0","2.0","5.0","1.0","3.0","19.0","3.0","5.0","4.0","3.0","1.0","5.0","2.0","8.0","14.0","24.0","11.0","10.0"
"Tentatives d'homicides pour voler et à l'occasion de vols","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","2.0","0.0","0.0","2.0","4.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","3.0","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","2.0","3.0","0.0"
"Tentatives homicides pour d'autres motifs","4.0","4.0","2.0","2.0","0.0","34.0","3.0","0.0","1.0","2.0","3.0","2.0","99.0","9.0","0.0","2.0","11.0","5.0","5.0","7.0","2.0","1.0","6.0","15.0","11.0","4.0","17.0","7.0","9.0","5.0","7.0","18.0","4.0","22.0","33.0","9.0","4.0","6.0","18.0","1.0","2.0","3.0","7.0","0.0","7.0","2.0","0.0","0.0","1.0","9.0","6.0","1.0","5.0","1.0","18.0","0.0","7.0","9.0","0.0","52.0","7.0","1.0","21.0","3.0","9.0","2.0","10.0","6.0","15.0","15.0","9.0","3.0","8.0","9.0","9.0","107.0","19.0","22.0","33.0","11.0","12.0","1.0","0.0","35.0","5.0","3.0","5.0","3.0","7.0","0.0","0.0","66.0","34.0","60.0","56.0","31.0"
"Coups et blessures volontaires suivis de mort","0.0","0.0","1.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","1.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","2.0","0.0","0.0","1.0","4.0","0.0","2.0","2.0","0.0","0.0","5.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","2.0","0.0","10.0","3.0","2.0","3.0","0.0","1.0","0.0","3.0","0.0","0.0","4.0","0.0","1.0","1.0","1.0","0.0","2.0","2.0","1.0","4.0","0.0","6.0","1.0","0.0","4.0","2.0","1.0","0.0","2.0","2.0","0.0","0.0","3.0","1.0","4.0","1.0","3.0"
"Autres coups et blessures volontaires criminels ou correctionnels","1164.0","2095.0","720.0","366.0","273.0","4863.0","630.0","930.0","388.0","1022.0","862.0","405.0","8070.0","1805.0","230.0","804.0","1518.0","720.0","489.0","968.0","1084.0","147.0","713.0","1457.0","1449.0","1950.0","1036.0","2344.0","308.0","386.0","2197.0","3386.0","308.0","4122.0","3332.0","2524.0","495.0","1237.0","3160.0","515.0","812.0","788.0","1968.0","372.0","3639.0","2153.0","282.0","709.0","130.0","1578.0","940.0","2054.0","545.0","576.0","2293.0","461.0","1435.0","2903.0","529.0","11469.0","2670.0","668.0","7163.0","1363.0","1187.0","520.0","1425.0","2791.0","2223.0","6250.0","591.0","968.0","1423.0","1235.0","1927.0","9302.0","4357.0","4483.0","3481.0","629.0","2335.0","765.0","586.0","3676.0","1587.0","1021.0","827.0","785.0","824.0","1116.0","425.0","4293.0","3706.0","9632.0","4727.0","5194.0"
"Prises d'otages à l'occasion de vols","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","4.0"
"Prises d'otages dans un autre but","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0"
"Séquestrations","15.0","22.0","5.0","2.0","1.0","39.0","12.0","1.0","4.0","10.0","5.0","3.0","164.0","10.0","2.0","5.0","9.0","3.0","2.0","10.0","11.0","2.0","3.0","18.0","19.0","11.0","6.0","24.0","10.0","9.0","23.0","46.0","2.0","41.0","38.0","11.0","5.0","12.0","51.0","6.0","7.0","8.0","23.0","5.0","50.0","27.0","3.0","7.0","1.0","19.0","6.0","12.0","5.0","2.0","26.0","4.0","12.0","24.0","3.0","111.0","27.0","9.0","42.0","7.0","19.0","4.0","22.0","23.0","21.0","87.0","7.0","9.0","11.0","6.0","19.0","180.0","46.0","42.0","72.0","5.0","20.0","6.0","5.0","39.0","17.0","6.0","14.0","7.0","7.0","14.0","4.0","68.0","52.0","139.0","44.0","76.0"
