nom_contextuel_unite|localite_unite|num_tph_fixe_unite|num_fax_unite|adresse_code_postal|adresse_geographique_unite|lambert93_x|lambert93_y
Brigade territoriale autonome de Mions|MIONS|+33 4 72 90 17 70|+33 4 72 90 17 74|69780|10 Rue Joanny Sage 69780 MIONS|852207|6509352
Brigade territoriale autonome de Châteauneuf-du-Pape|CHATEAUNEUF DU PAPE|||84230|Les Mascaronnes - Chemin de Boursan 84230 CHATEAUNEUF DU PAPE|847024|6329644
Brigade territoriale autonome de Châtillon-en-Michaille|CHATILLON EN MICHAILLE|+33 4 50 48 22 99|+33 4 50 48 64 92|01200|186 Allée Saint-Christophe 01200 CHATILLON EN MICHAILLE|913877|6562751
Brigade territoriale autonome d'Hallennes-lez-Haubourdin|HALLENNES LEZ HAUBOURDIN|+33 3 20 07 17 03|+33 3 20 07 23 43|59320|2 bis Avenue Marie-Madeleine Dupuis 59320 HALLENNES LEZ HAUBOURDIN|696996|7057437
Brigade territoriale autonome de Merlimont|MERLIMONT|+33 3 21 89 78 90|+33 3 21 89 78 93|62155|100 Allée des Courlis 62155 MERLIMONT|601573|7040200
Brigade territoriale autonome de Hoymille|HOYMILLE|+33 3 28 68 65 22|+33 3 28 68 86 75|59492|Caserne Dumont Chemin Départemental 916 A 59492 HOYMILLE|661567|7097689
Brigade territoriale autonome de Robion|ROBION|+33 4 90 78 01 30|+33 4 90 78 71 08|84440|120 Avenue André Dumoulin 84440 ROBION|869153|6307454
Brigade territoriale autonome de Saint-Paul-en-Jarez|ST PAUL EN JAREZ|+33 4 77 73 22 07|+33 4 77 73 67 22|42740|90 Route de la Merlanchonnière La Merlanchonnière 42740 ST PAUL EN JAREZ|823219|6488471
Brigade territoriale autonome de Bondoufle|BONDOUFLE|+33 1 60 79 72 00|+33 1 60 79 72 29|91070|Route Départementale 194 91070 BONDOUFLE|654253|6835182
Brigade territoriale autonome de Bormes-les-Mimosas|BORMES LES MIMOSAS|+33 4 94 71 11 92|+33 4 94 15 60 71|83230|207 Avenue André Del Monte 83230 BORMES LES MIMOSAS|973496|6229003
Brigade territoriale autonome de la Farlède|LA FARLEDE|+33 4 94 28 90 16|+33 4 94 13 86 31|83210|200 Route Nationale 97 83210 LA FARLEDE|947487|6234005
Brigade territoriale autonome de Bompas|BOMPAS|+33 4 68 53 74 60|+33 4 68 53 74 69|66430|Route de Villelongue 66430 BOMPAS|695295|6180916
Brigade territoriale autonome de Saint-Jean-de-Védas|ST JEAN DE VEDAS|+33 4 67 99 45 70|+33 4 67 99 45 79|34430|330 Avenue de Librilla 34430 ST JEAN DE VEDAS|767200|6275377
Brigade territoriale autonome de Cabestany|CABESTANY|+33 4 68 29 35 20|+33 4 68 29 35 38|66330|2 Avenue du 19 Mars 1962 ZA Le Moulinas 66330 CABESTANY|694692|6175518
Brigade territoriale autonome d'Irigny|IRIGNY|+33 4 78 50 30 33|+33 4 72 66 18 69|69540|20 Avenue Jean Gotail 69540 IRIGNY|841971|6509503
Brigade territoriale autonome de Cély|CELY|+33 1 64 81 90 85|+33 1 64 81 90 91|77930|9 Rue Edouard Goerg 77930 CELY|665086|6817679
