Rang,Département,Commune,Nombre de policiers municipaux
1,6,Nice,370
2,69,Lyon ,326
3,13,Marseille ,229
4,6,Cannes,204
5,31,Toulouse,175
6,67,Strasbourg,157
7,30,Nîmes,148
8,34,Montpellier,130
9,59,Lille,114
10,21,Dijon,108
11,42,Saint-Étienne,108
12,45,Orléans,107
13,84,Avignon,105
14,33,Bordeaux,104
15,37,Tours,97
16,83,Toulon,96
17,13,Aix-en-Provence,94
18,44,Nantes,94
19,38,Grenoble,93
20,66,Perpignan,87
21,57,Metz,85
22,76,Le Havre,82
23,92,Levallois-Perret,74
24,6,Antibes,72
25,80,Amiens,71
26,972,Fort-de-France,69
27,95,Communauté d'agglomération de la Vallée de Montmorency (8 communes),68
28,94,Saint-Maur-des-Fossés,65
29,77,Meaux,64
30,83,Fréjus,64
31,93,Aulnay-sous-Bois,63
32,83,Hyères,62
33,68,Mulhouse,61
34,6,Le Cannet,60
35,35,Rennes,60
36,92,Puteaux,59
37,59,Roubaix,59
38,76,Rouen,59
39,14,Caen,58
40,83,Saint-Raphaël,56
41,92,Courbevoie,56
42,13,Vitrolles,54
43,59,Dunkerque,54
44,92,Rueil-Malmaison,53
45,49,Angers,53
46,34,Agde,51
47,6,Grasse,51
48,83,La Seyne-sur-Mer,49
49,25,Besançon,49
50,51,Reims,49
51,60,Beauvais,47
52,54,Nancy,47
53,92,Asnières-sur-Seine,46
54,59,Tourcoing,46
55,974,Saint-Denis,46
56,13,Martigues,45
57,91,Évry,45
58,6,Mougins,44
59,82,Montauban,44
60,95,"Communauté d'agglomération Roissy Porte de France (CCRPF, 19 communes)",44
61,6,Mandelieu-la-Napoule,43
62,74,Annecy,43
63,6,Vallauris,41
64,6,Saint-Laurent-du-Var,41
65,971,Baie-Mahault,41
66,13,Salon-de-Provence,41
67,78,Poissy,40
68,13,Istres,40
69,78,Mantes-la-Jolie,40
70,83,Sainte-Maxime,39
71,34,Lunel,39
72,41,Blois,39
73,6,Cagnes-sur-Mer,39
74,92,Neuilly-sur-Seine,39
75,26,Valence,39
76,92,Colombes,39
77,92,Boulogne-Billancourt,39
78,35,Saint-Malo,38
79,34,Béziers,38
80,69,Villeurbanne,38
81,13,Fos-sur-Mer,37
82,973,Cayenne,37
83,13,Marignane,36
84,77,Bussy-Saint-Georges,35
85,84,Orange,35
86,83,Six-Fours-les-Plages,35
87,95,Cergy,35
88,95,Argenteuil,35
89,971,Les Abymes,34
90,2A,Ajaccio,34
91,84,Bollène,33
92,78,Saint-Germain-en-Laye,33
93,17,La Rochelle,33
94,30,Alès,32
95,95,Enghien-les-Bains,31
96,6,Menton,31
97,11,Narbonne,31
98,10,Troyes,31
99,84,Carpentras,30
100,13,La Ciotat,30
