Classement	Département	Commune	Nombre d'habitants pour un policier
1	83	Sainte-Maxime	331
2	6	Cannes	358
3	95	Enghien-les-Bains	380
4	13	Fos-sur-Mer	415
5	84	Bollène	419
6	6	Mougins	429
7	78	Aubergenville	462
8	34	Agde	481
9	66	Canet-en-Roussillon	492
10	83	Roquebrune-sur-Argens	493
11	66	Saint-Cyprien	498
12	6	Mandelieu-la-Napoule	516
13	57	Woippy	567
14	30	Vauvert	580
15	69	Saint-Fons	595
16	6	Villeneuve-Loubet	600
17	83	Saint-Raphaël	600
18	33	Arcachon	609
19	13	Châteauneuf-les-Martigues	613
20	6	Valbonne	613
21	34	Castelnau-le-Lez	622
22	94	Bry-sur-Marne	625
23	34	Lunel	648
24	13	Vitrolles	648
25	13	Rognac	653
26	35	Dinard	661
27	77	Bussy-Saint-Georges	666
28	13	Les Pennes-Mirabeau	671
29	34	Mauguio	679
30	6	Vallauris	689
31	83	Cogolin	694
32	6	Le Cannet	705
33	971	Pointe-à-Pitre	714
34	6	Carros	719
35	6	Saint-Laurent-du-Var	730
36	971	Baie-Mahault	737
37	83	Saint-Cyr-sur-Mer	738
38	60	Noyon	748
39	13	Berre-l'Étang	754
40	92	Puteaux	758
41	84	L' Isle-sur-la-Sorgue	761
42	60	Crépy-en-Valois	781
43	77	Meaux	793
44	30	Saint-Gilles	797
45	30	Pont-Saint-Esprit	802
46	83	Fréjus	809
47	84	Orange	832
48	28	Châteaudun	852
49	84	Avignon	854
50	84	Sorgues	859
51	84	Cavaillon	860
52	6	La Trinité	861
53	92	Levallois-Perret	868
54	83	Hyères	880
55	13	Saint-Rémy-de-Provence	884
56	30	Villeneuve-lès-Avignon	884
57	60	Chantilly	906
58	83	Vidauban	924
59	6	Mouans-Sartoux	927
60	6	Nice	927
61	6	Menton	930
62	34	Lattes	936
63	94	Joinville-le-Pont	936
64	78	Poissy	942
65	78	Le Vésinet	955
66	13	Marignane	957
67	30	Nîmes	960
68	94	Saint-Mandé	973
69	64	Biarritz	973
70	84	Carpentras	975
71	93	Le Raincy	987
72	17	Royan	997
73	83	Six-Fours-les-Plages	997
74	6	Grasse	1000
75	44	Châteaubriant	1001
76	6	Vence	1014
77	13	Miramas	1014
78	74	Gaillard	1016
79	13	Saint-Martin-de-Crau	1016
80	6	Antibes	1029
81	3	Vichy	1032
82	6	Roquebrune-Cap-Martin	1044
83	13	Bouc-Bel-Air	1052
84	13	Salon-de-Provence	1052
85	11	Lézignan-Corbières	1053
86	13	Martigues	1056
87	84	Vedène	1058
88	13	Istres	1063
89	77	Ozoir-la-Ferrière	1066
90	45	Orléans	1066
91	84	Apt	1068
92	60	Pont-Sainte-Maxence	1070
93	78	Mantes-la-Jolie	1074
94	60	Senlis	1078
95	66	Saint-Estève	1083
96	84	Monteux	1098
97	77	Claye-Souilly	1102
98	59	Grande-Synthe	1104
99	60	Méru	1105
100	82	Moissac	1108
