nom_contextuel_unite;localite_unite;num_tph_fixe_unite;num_fax_unite;adresse_code_postal;dept;adresse_geographique_unite;mail_rattachement_unite;wgs84
Brigade territoriale autonome de Coulommiers;COULOMMIERS;+33 1 64 03 00 20;+33 1 64 03 71 10;77120;77;27 Avenue de la République 77120 COULOMMIERS;bta.coulommiers@gendarmerie.interieur.gouv.fr;48.8156242, 3.0881976
Brigade territoriale autonome de Tournan-en-Brie;TOURNAN EN BRIE;+33 1 64 25 42 11;+33 1 64 25 49 33;77220;77;10 Rue des Frères Vinot 77220 TOURNAN EN BRIE;bta.tournan-en-brie@gendarmerie.interieur.gouv.fr;48.7417006, 2.7598823
Brigade territoriale autonome de Dammartin-en-Goële;DAMMARTIN EN GOELE;+33 1 60 03 00 19;;77230;77;64 Avenue de l'Europe 77230 DAMMARTIN EN GOELE;bta.dammartin-en-goele@gendarmerie.interieur.gouv.fr;49.0629113, 2.6811715
Brigade territoriale autonome de Chaumes-en-Brie;CHAUMES EN BRIE;+33 1 64 06 03 16;;77390;77;1 Rue de Foix 77390 CHAUMES EN BRIE;bta.chaumes-en-brie@gendarmerie.interieur.gouv.fr;48.6634148, 2.8427923
Brigade territoriale autonome de Rozay-en-Brie;ROZAY EN BRIE;+33 1 64 25 60 28;;77540;77;Rue des Etangs 77540 ROZAY EN BRIE;bta.rozay-en-brie@gendarmerie.interieur.gouv.fr;48.6863626, 2.9562672
Brigade territoriale autonome de Mormant;MORMANT;+33 1 64 06 90 16;+33 1 64 06 82 81;77720;77;133 Rue Charles de Gaulle 77720 MORMANT;bta.mormant@gendarmerie.interieur.gouv.fr;48.610984, 2.888184
Brigade territoriale autonome de Saint-Germain-en-Laye;ST GERMAIN EN LAYE;+33 1 39 04 04 00;;78100;78;3 Rue du Panorama 78100 ST GERMAIN EN LAYE;bta.st-germain-en-laye@gendarmerie.interieur.gouv.fr;48.8925687, 2.0793994
Brigade territoriale autonome de Chevreuse;CHEVREUSE;+33 1 30 52 15 48;+33 1 30 52 80 50;78460;78;71 Route de Rambouillet 78460 CHEVREUSE;bta.chevreuse@gendarmerie.interieur.gouv.fr;48.7025544, 2.0338242
Brigade territoriale autonome de Triel-sur-Seine;TRIEL SUR SEINE;+33 1 39 74 52 12;+33 1 39 74 51 01;78510;78;33 Rue Paul Doumer 78510 TRIEL SUR SEINE;bta.triel-sur-seine@gendarmerie.interieur.gouv.fr;48.9742137, 2.0068117
Brigade territoriale autonome d'Orgeval;ORGEVAL;+33 1 39 08 24 00;;78630;78;52 Rue de la Gare 78630 ORGEVAL;bta.orgeval@gendarmerie.interieur.gouv.fr;48.9238676, 1.9737386
Brigade territoriale autonome de la Queue-les-Yvelines;LA QUEUE LES YVELINES;+33 1 34 86 40 01;;78940;78;88 Rue Nationale 78940 LA QUEUE LES YVELINES;bta.la-queue-les-yvelines@gendarmerie.interieur.gouv.fr;48.8033775, 1.7578077
Brigade territoriale autonome d'Étampes;ETAMPES;+33 1 64 94 69 45;+33 1 64 94 83 15;91150;91;76 Avenue du 8 Mai 1945 91150 ETAMPES;bta.etampes@gendarmerie.interieur.gouv.fr;48.441378, 2.1497965
Brigade de proximité de Gif-Chevry;GIF SUR YVETTE;+33 1 60 12 12 80;+33 1 60 12 75 55;91190;91;2 Rocade de Baudreville 91190 GIF SUR YVETTE;cob.gif-sur-yvette@gendarmerie.interieur.gouv.fr;48.701844, 2.134078
Brigade de proximité de Soisy-sur-Seine;SOISY SUR SEINE;+33 1 60 75 85 20;+33 1 60 75 25 94;91450;91;58 Boulevard de la République 91450 SOISY SUR SEINE;cob.st-pierre-du-perray@gendarmerie.interieur.gouv.fr;48.6491372, 2.4467948
Brigade territoriale autonome de Guigneville-sur-Essonne;GUIGNEVILLE SUR ESSONNE;+33 1 64 57 68 25;+33 1 64 57 68 70;91590;91;Route de Milly-la-Forêt 91590 GUIGNEVILLE SUR ESSONNE;bta.guigneville-sur-essonne@gendarmerie.interieur.gouv.fr;48.4298179, 2.3824083
Brigade de proximité de Méréville;MEREVILLE;+33 1 64 95 00 14;;91660;91;21 Rue Paul Bert 91660 MEREVILLE;cob.mereville@gendarmerie.interieur.gouv.fr;48.3160817, 2.088787
Brigade territoriale autonome de Cergy;CERGY;+33 1 30 75 56 00;+33 1 30 75 56 01;95000;95;1 Avenue de la Palette 95000 CERGY;bta.cergy@gendarmerie.interieur.gouv.fr;49.0319888, 2.0841331
Brigade de proximité de Viarmes;VIARMES;+33 1 30 35 45 39;+33 1 30 35 86 83;95270;95;54 Rue de Paris 95270 VIARMES;cob.viarmes@gendarmerie.interieur.gouv.fr;49.1262792, 2.369958
Brigade territoriale autonome de Domont;DOMONT;+33 1 39 35 58 50;+33 1 39 35 58 55;95330;95;191 Avenue Jean Rostand 95330 DOMONT;bta.domont@gendarmerie.interieur.gouv.fr;49.0422599, 2.3377874
Brigade territoriale autonome de Vigny;VIGNY;+33 1 34 67 89 89;+33 1 34 67 89 85;95450;95;50 Rue Baudouin 95450 VIGNY;bta.vigny@gendarmerie.interieur.gouv.fr;49.0786208, 1.9215858
Brigade territoriale autonome de Parmain;PARMAIN;+33 1 34 73 34 17;+33 1 34 73 34 20;95620;95;71 Rue du Maréchal Foch 95620 PARMAIN;bta.parmain@gendarmerie.interieur.gouv.fr;49.1160391, 2.2072082
Brigade de proximité de Gouaix;GOUAIX;+33 1 64 00 70 05;;77114;77;27 Avenue de la Gare 77114 GOUAIX;cob.donnemarie-dontilly@gendarmerie.interieur.gouv.fr;48.4784663, 3.2941601
Brigade territoriale autonome de Coubert;COUBERT;+33 1 64 06 66 78;+33 1 64 06 79 99;77170;77;1 ter Rue Etienne Tétrot 77170 COUBERT;bta.coubert@gendarmerie.interieur.gouv.fr;48.6720288, 2.6927192
Brigade territoriale autonome de Nangis;NANGIS;+33 1 64 08 00 33;+33 1 64 08 77 84;77370;77;1 Rue Marcel Paul 77370 NANGIS;bta.nangis@gendarmerie.interieur.gouv.fr;48.5534063, 3.0074248
